Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Patagonia,Sonoran SE,Warm,BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Patagonia,Sonoran SE,Medium,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,Yes
Patagonia,Sonoran SE,Medium,MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
Patagonia,Sonoran SE,Medium,POSE,POSE,Poa secunda,Native,Perennial,Grass,Yes
Patagonia,Sonoran SE,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Patagonia,Sonoran SE,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Y
Patagonia,Sonoran SE,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,y
Patagonia,Sonoran SE,Medium,SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
Patagonia,Sonoran SE,Medium,SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Y
SRER,Sonoran SE,Warm,ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
SRER,Sonoran SE,Warm,ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass,Y
SRER,Sonoran SE,Warm,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Y
SRER,Sonoran SE,Warm,BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
SRER,Sonoran SE,Medium,BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,Yes
SRER,Sonoran SE,Medium,BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,Y
SRER,Sonoran SE,Medium,BOER,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,Yes
SRER,Sonoran SE,Medium,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,Yes
SRER,Sonoran SE,Medium,MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
SRER,Sonoran SE,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Y
SRER,Sonoran SE,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
