Region,Site,Code,CodeOriginal,Name,Native,Duration,Lifeform
Sonoran Central,Pleasant,CRYPT.Pleasant,CRYPT,"Cryptantha spp., Pleasant",Native,Unknown,Forb
Sonoran Central,Pleasant,ERIOG.Pleasant,ERIOG,"Eriogonum spp., Pleasant",Native,Unknown,Forb
Sonoran Central,Pleasant,Unk bunchGrass #1.Pleasant,Unk bunchGrass #1,"Could be BOCU, Pleasant",Unknown,Unknown,Grass
Sonoran Central,Pleasant,Unk sp..Pleasant,Unk sp.,"Unknown species, Pleasant",Unknown,Unknown,Unknown
Sonoran Central,Preserve,UNK heart.Preserve,UNK heart,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Unknown,Unknown,Forb
Sonoran Central,Preserve,Unk heart.Preserve,Unk heart,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Unknown,Unknown,Forb
Sonoran Central,Roosevelt,CRYPT.Roosevelt,CRYPT,"Cryptantha spp., Roosevelt",Native,Unknown,Forb
Sonoran Central,Roosevelt,unk grass 2.Roosevelt,unk grass 2,"Unknown grass 2, Roosevelt",Unknown,Unknown,Grass
Sonoran Central,SCC,UNK brown.SCC,UNK brown,"Unknown brown, SCC",Unknown,Unknown,Unknown
Sonoran Central,SCC,Unk grass (possibly seeded).SCC,Unk grass (possibly seeded),"Unknown grass (possibly seeded), SCC",Native/Unknown,Unknown,Grass
Sonoran Central,SCC,Unk sp..SCC,Unk sp.,"Unknown species, SCC",Unknown,Unknown,Unknown
Sonoran SE,Patagonia,ARISPP.Patagonia,ARISPP,"Aristida spp., Patagonia",Native,Unknown,Grass
Sonoran SE,Patagonia,CALSPP.Patagonia,CALSPP,"Calandrinia spp., Patagonia",Native,Unknown,Forb
Sonoran SE,Patagonia,CHESPP.Patagonia,CHESPP,"Chenopodium spp., Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,ERASPP.Patagonia,ERASPP,"Eragrostis spp., ERCU or ERLE, Patagonia",Introduced,Perennial,Grass
Sonoran SE,Patagonia,ERISPP.Patagonia,ERISPP,"Erigeron spp., Patagonia",Native,Unknown,Forb
Sonoran SE,Patagonia,MENSPP.Patagonia,MENSPP,"Mentzelia spp., Patagonia",Native,Unknown,Forb
Sonoran SE,Patagonia,PORSPP.Patagonia,PORSPP,"Portulaca spp., Patagonia",Native,Unknown,Forb
Sonoran SE,Patagonia,PROACASPP.Patagonia,PROACASPP,"Mesquite/Acacia spp., Patagonia",Native/Unknown,Perennial,Shrub
Sonoran SE,Patagonia,SIDSPP.Patagonia,SIDSPP,"Sida spp., Patagonia",Native/Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO-1.Patagonia,UNFO-1,"Unknown forb (SRER); Umbilliferae family, thin lacey divided leaves with small white flowers in umbels at the top, Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO1.Patagonia,UNFO1,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO1A.Patagonia,UNFO1A,"Unknown forb (Patagonia, Nov 2019); Darker Green, 5 petals radiating out, Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO2.Patagonia,UNFO2,"Unknown forb (Patagonia); low to ground, succulenty, tiny white flowers, similar to purslane, Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO3.Patagonia,UNFO3,"Unknown forb (Patagonia); upright mustard with small pods and tiny yellow flowers, Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO5.Patagonia,UNFO5,"Unknown forb (Patagonia); Similar to dandelion, yellow closed flowers, Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO6.Patagonia,UNFO6,"Unknown forb; green, young, radiating basal leaves; slightly fuzzy; Patagonia, Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_1.Patagonia,UNFO_P_1,"Unknown forb; small reddish purple rosette with ovate leaves (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_2.Patagonia,UNFO_P_2,"Unknown forb; Pinated leaves, upright rosette, lighter green, Ambrosia?  (Spring 2021), Patagonia",Native/Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_3.Patagonia,UNFO_P_3,"Unknown forb; Fabeacea (pea), long and spindly (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_4.Patagonia,UNFO_P_4,"Unkown forb; Unknown Fabeacea (Pea), short and fuzzy, chunky, Acmispon Brachycarpus? (Spring 2021), Patagonia",Native/Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_5.Patagonia,UNFO_P_5,"Unknown forb; Prominent mid-vein, leaf doesn't completely surround/there's good amount of petiole, ovate leaves that're slightly speckled, oenothera? (Spring 2021), Patagonia",Native/Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_6.Patagonia,UNFO_P_6,"Unknown forb; Super tiny, red thin stem like SAIB but the top leaves are compounded with 3 leaflets, Amaranthaceae? (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFO_P_7.Patagonia,UNFO_P_7,"Unknown forb; Rosette leaves slightly fuzzy and silvery light green. simple leaves, smells like bandaids (Spring 2021), Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNFS.Patagonia,UNFS,"Unknown forb seedling, Patagonia",Unknown,Unknown,Forb
Sonoran SE,Patagonia,UNGR1 (possible ERLE).Patagonia,UNGR1 (possible ERLE),"Unknown grass 1, possibly ERLE, Patagonia",Introduced,Perennial,Grass
Sonoran SE,Patagonia,UNGRS1.Patagonia,UNGRS1,"Unknown grass (Patagonia);Unk. grass seedling, bunchy, possible lovegrass?, Patagonia",Unknown,Unknown,Grass
Sonoran SE,Patagonia,UNGRS2.Patagonia,UNGRS2,"Unknown grass (Patagonia); Unk grass seedling, leaf divided early like BOGR, possible lovegrass?, Patagonia",Unknown,Unknown,Grass
Sonoran SE,Patagonia,UNGRS3.Patagonia,UNGRS3,"Unknown grass (Patagonia); Lighter green, thin leaves, possible threeawn?, Patagonia",Native,Unknown,Grass
Sonoran SE,Patagonia,UNGR_P_1.Patagonia,UNGR_P_1,"Unknown grass; Possibly small ARIsp. (Spring 2021), Patagonia",Native,Unknown,Grass
Sonoran SE,Patagonia,UNSHR-1.Patagonia,UNSHR-1,"Unknown shrub (Patagonia); mesquite or acacia, Patagonia",Native,Unknown,Shrub
Sonoran SE,SRER,ACASPP.SRER,ACASPP,"Acalypha spp., SRER",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,ANOSPP.SRER,ANOSPP,"Anoda spp., SRER",Native,Annual,Forb
Sonoran SE,SRER,ARISPP.SRER,ARISPP,"Aristida spp., SRER",Native,Unknown,Grass
Sonoran SE,SRER,ASTSPP.SRER,ASTSPP,"Astragalus spp., SRER",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,BOUSPP.SRER,BOUSPP,"Bouteloua spp. (BOCH, BOCU, BORE, or BORA), SRER",Native,Perennial,Grass
Sonoran SE,SRER,BRASPP.SRER,BRASPP,"Brassica spp. (likely DEPI), SRER",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,CRYSPP.SRER,CRYSPP,"Cryptantha spp., SRER",Native,Unknown,Forb
Sonoran SE,SRER,CRYSPP 1.SRER,CRYSPP 1,"Cryptantha spp. 1, SRER",Native,Unknown,Forb
Sonoran SE,SRER,CRYSPP 2.SRER,CRYSPP 2,"Cryptantha spp. 2, SRER",Native,Unknown,Forb
Sonoran SE,SRER,CRYSPP2.SRER,CRYSPP2,"Cryptantha spp. 2, SRER",Native,Unknown,Forb
Sonoran SE,SRER,ERIASPP.SRER,ERIASPP,"Eriastrum spp., SRER",Native,Unknown,Forb
Sonoran SE,SRER,FESSPP.SRER,FESSPP,"Fescue spp., SRER",Native,Unknown,Grass
Sonoran SE,SRER,GILSPP.SRER,GILSPP,"Gilia spp., SRER",Native,Unknown,Forb
Sonoran SE,SRER,GILSPP 1.SRER,GILSPP 1,"Gilia spp. 1, SRER",Native,Unknown,Forb
Sonoran SE,SRER,GILSPP 2.SRER,GILSPP 2,"Gilia spp. 2, SRER",Native,Unknown,Forb
Sonoran SE,SRER,LUPSPP.SRER,LUPSPP,"Lupinus spp., SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,MENSPP.SRER,MENSPP,"Mentzelia spp., SRER",Native,Unknown,Forb
Sonoran SE,SRER,PANSPP.SRER,PANSPP,"Panicum spp., SRER",Native,Unknown,Grass
Sonoran SE,SRER,PLASPP.SRER,PLASPP,"Plantago spp., SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,SIDSPP.SRER,SIDSPP,"Sida spp., SRER",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,UNDPF.SRER,UNDPF,"Unknown dead pod forb, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNDSF.SRER,UNDSF,"Unknown dead spikey forb, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-1.SRER,UNFO-1,"Unknown forb (Patagonia); Soft and fuzzy/hairy, serated leaves with middle vein underneath on bottom side of the leaf, pickle smell, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-2.SRER,UNFO-2,"Unknown forb (SRER); Super hairy almost spikey looking with pinately lobed leaves, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-3.SRER,UNFO-3,"Unknown forb (SRER); Androsace species (or possibly a cynquifoil), small basal leaves typically with a reddish color, with a reddish long thin stem, with artichoke head-like tops, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-4.SRER,UNFO-4,"Unknown forb (SRER); Possibly a Linum species (Flax), basal rosette, narrow rounded leaves opposite along and close to an upright stem, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-5.SRER,UNFO-5,"Unknown forb 5, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO1.SRER,UNFO1,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO3.SRER,UNFO3,"Unknown forb (SRER); tiny reddish basal leaves, star-like petals, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO4.SRER,UNFO4,"Unknown forb (SRER); very hairy radiating out/up, fuzzy rosettes, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO5.SRER,UNFO5,"Unknown forb (SRER); Little carrot with tiny white flowers and thin leaves, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO6.SRER,UNFO6,"Unknown forb (SRER); Very small, long slender leaves, fuzzy, leaf toothed around margins. Possibly Heterotheca grandiflora, SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_1.SRER,UNFO_S_1,"Unknown forb; Purple vine, sagitate leaves (Spring 2021), SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_3.SRER,UNFO_S_3,"Unknown forb; Fuzzy green penately arranged leaflets, partially pinated lobes ""thick poppy"" possibly an ambrosia (Spring 2021), SRER",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_4.SRER,UNFO_S_4,"Unknown forb; Super tiny, very spikey, pinately lobed, possible cryptantha or plagiobothrys (Spring 2021), SRER",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_5.SRER,UNFO_S_5,"Unknown forb; Silky hairy fuzzy, straight leaves, no prominent veination, pseudognaphalium? (Spring 2021), SRER",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO_S_7.SRER,UNFO_S_7,"Unknown forb; ""artichoke head"", stem leaves alternate, basal rosette, possibly cryptantha? (Spring 2021), SRER",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,UNGR1 (BOER/Aristida).SRER,UNGR1 (BOER/Aristida),"Unknown grass 1, BOER4 or Aristida, SRER",Native,Unknown,Grass
Sonoran SE,SRER,UNGRS-1 (likely ERLE).SRER,UNGRS-1 (likely ERLE),"Unknown grass 1, likely ERLE, SRER",Introduced,Perennial,Grass
Sonoran SE,SRER,UNGRS1.SRER,UNGRS1,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, SRER",Native/Unknown,Unknown,Grass
Sonoran SE,SRER,UNGRS-1.SRER,UNGRS-1,"Unknown grass seedling (SRER), but most likely ERLE, spring 2022, SRER",Introduced,Unknown,Grass
