Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Pleasant,Sonoran Central,Cool,ACMIS,ACMIS,Acmispon (Lotus),Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,AMMEI2,AMMEI2,Amsinckia menziesii,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,AMMEI2,AMMEI2,Amsinckia menziesii,Native,Annual,Forb,No
Pleasant,Sonoran Central,None,AMMEI2,AMMEI2,Amsinckia menziesii,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,ASNU4,ASNU4,Astragalus nuttallianus,Native,Unknown,Forb,No
Pleasant,Sonoran Central,Warm,ASNU4,ASNU4,Astragalus nuttallianus,Native,Unknown,Forb,No
Pleasant,Sonoran Central,Warm,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
Pleasant,Sonoran Central,None,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
Pleasant,Sonoran Central,Cool,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
Pleasant,Sonoran Central,None,CACI2,CACI2,Calandrinia ciliata,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,CACI2,CACI2,Calandrinia ciliata,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,CACI2,CACI2,Calandrinia ciliata,Native,Annual,Forb,No
Pleasant,Sonoran Central,None,EUAB,CHAB2,Chamaesyce abramsiana,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,EUAB,CHAB2,Chamaesyce abramsiana,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,EUAB,CHAB2,Chamaesyce abramsiana,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,CRCO34,CRCO34,Crassula connata,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,CRYPT,CRYPT.Pleasant,"Cryptantha spp., Pleasant",Native,Unknown,Forb,No
Pleasant,Sonoran Central,Warm,CRYPT,CRYPT.Pleasant,"Cryptantha spp., Pleasant",Native,Unknown,Forb,No
Pleasant,Sonoran Central,Cool,ERLA12,ERLA12,Ericameria laricifolia,Native,Perennial,Shrub,No
Pleasant,Sonoran Central,Warm,ERIOG,ERIOG.Pleasant,"Eriogonum spp., Pleasant",Native,Unknown,Forb,No
Pleasant,Sonoran Central,None,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No
Pleasant,Sonoran Central,Cool,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No
Pleasant,Sonoran Central,Warm,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No
Pleasant,Sonoran Central,Warm,HAPAA,HAPAA,Harpagonella palmeri,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,HEHIC,HEHIC,Herniaria hirsuta,Introduced,Annual,Forb,No
Pleasant,Sonoran Central,Cool,HEHIC,HEHIC,Herniaria hirsuta,Introduced,Annual,Forb,No
Pleasant,Sonoran Central,Warm,LELA,LELA,Lepidium lasiocarpum,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,LOAR12,LOAR12,Logfia arizonica,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,LOAR12,LOAR12,Logfia arizonica,Native,Annual,Forb,No
Pleasant,Sonoran Central,None,LOAR12,LOAR12,Logfia arizonica,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,LOHU2,LOHU2,Lotus humistratus,Native,Annual,Forb,No
Pleasant,Sonoran Central,None,LOHU2,LOHU2,Lotus humistratus,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,LOHU2,LOHU2,Lotus humistratus,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,LOSTT,LOSTT,Lotus strigosus,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,MAPA5,MAPA5,Malva parviflora,Introduced,Unknown,Forb,No
Pleasant,Sonoran Central,Warm,MEIN2,MEIN2,Melilotus indicus,Introduced,Annual,Forb,No
Pleasant,Sonoran Central,Warm,MONU,MONU,Monolepis nuttalliana,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,MONU,MONU,Monolepis nuttalliana,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,PECTO,PECTO,Pectocarya,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,PECTO,PECTO,Pectocarya,Native,Annual,Forb,No
Pleasant,Sonoran Central,None,PECTO,PECTO,Pectocarya,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,PEHE,PEHE,Pectocarya heterocarpa,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,PEHE,PEHE,Pectocarya heterocarpa,Native,Annual,Forb,No
Pleasant,Sonoran Central,None,PEHE,PEHE,Pectocarya heterocarpa,Native,Annual,Forb,No
Pleasant,Sonoran Central,Warm,PEPL,PEPL,Pectocarya platycarpa,Native,Annual,Forb,No
Pleasant,Sonoran Central,Cool,PEPL,PEPL,Pectocarya platycarpa,Native,Annual,Forb,No
