CodeOriginal,Name,Native,Region,Site,Duration,Lifeform
UNFO_S_4,"Unknown forb; Super tiny, very spikey, pinately lobed, possible cryptantha or plagiobothrys (Spring 2021)",Native/Unknown,Sonoran SE,SRER,Unknown,Forb
UNFO_S_5,"Unknown forb; Silky hairy fuzzy, straight leaves, no prominent veination, pseudognaphalium? (Spring 2021)",Unknown,Sonoran SE,SRER,Unknown,Forb
UNFO_S_7,"Unknown forb; ""artichoke head"", stem leaves alternate, basal rosette, possibly cryptantha? (Spring 2021)",Native/Unknown,Sonoran SE,SRER,Unknown,Forb
UNFS,Unknown forb seedling,Unknown,Sonoran SE,Patagonia,Unknown,Forb
UNGR1,Unknown grass 1,Unknown,Sonoran SE,Patagonia,Unknown,Grass
UNGR1,Unknown grass (SantaRita); Possibly BOER or Aristida spp (so likely unseeded),Native,Sonoran SE,SRER,Unknown,Grass
UNGRS1,"Unknown grass (Patagonia);Unk. grass seedling, bunchy, possible lovegrass?",Unknown,Sonoran SE,Patagonia,Unknown,Grass
UNGRS1,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes",Native/Unknown,Sonoran SE,SRER,Unknown,Grass
UNGRS1,"Unknown grass seedling (SRER), but most likely ERLE, spring 2022",Introduced,Sonoran SE,SRER,Unknown,Grass
UNGRS2,"Unknown grass (Patagonia); Unk grass seedling, leaf divided early like BOGR, possible lovegrass?",Unknown,Sonoran SE,Patagonia,Unknown,Grass
UNGRS3,"Unknown grass (Patagonia); Lighter green, thin leaves, possible threeawn?",Native,Sonoran SE,Patagonia,Unknown,Grass
UNGR_P_1,Unknown grass; Possibly small ARIsp. (Spring 2021),Native,Sonoran SE,Patagonia,Unknown,Grass
UNGR_S_1,Unknown grass; Grass seedling short erose ligule slight chance ARPU because of 45 degree leaf or possibly a Vulpia sp. like VUOC (Spring 2021),Native/Unknown,Sonoran SE,SRER,Unknown,Grass
UNGR_S_2,Unknown grass; Possibly a BOCU or another Bouteloua (Spring 2021),Native,Sonoran SE,SRER,Unknown,Grass
UNSFF,"Unknown shrubby fuzzy forb, munched down",Unknown,Sonoran SE,SRER,Unknown,Forb
UNSHR-1,Unknown shrub (Patagonia); mesquite or acacia,Native,Sonoran SE,Patagonia,Unknown,Shrub
Unk bunchGrass #1,Could be BOCU,Unknown,Sonoran Central,Pleasant,Unknown,Grass
Unk grass,Unknown likely associated with warm seed mix,Unknown,Sonoran Central,SCC,Unknown,Grass
Unk heart,Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there),Unknown,Sonoran Central,Preserve,Unknown,Forb
Unk sp.,Unknown species,Unknown,Sonoran Central,Pleasant,Unknown,Unknown
Unk sp.,Unknown species,Unknown,Sonoran Central,SCC,Unknown,Unknown
CRYSPP 1,Cryptantha spp. 1,Native,Sonoran SE,SRER,Unknown,Forb
CRYSPP 2,Cryptantha spp. 2,Native,Sonoran SE,SRER,Unknown,Forb
CRYSPP2,Cryptantha spp. 3,Native,Sonoran SE,SRER,Unknown,Forb
FESSPP,Fescue spp.,Native,Sonoran SE,SRER,Unknown,Grass
GILSPP 1,Gilia spp. 1,Native,Sonoran SE,SRER,Unknown,Forb
GILSPP 2,Gilia spp. 2,Native,Sonoran SE,SRER,Unknown,Forb
UNFO-5,Unknown forb 5,Unknown,Sonoran SE,SRER,Unknown,Forb
UNGRS-1,Unknown grass 1,Unknown,Sonoran SE,SRER,Unknown,Grass
UNK brown,Unknown brown,Unknown,Sonoran Central,SCC,Unknown,Unknown
UNK heart,Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there),Unknown,Sonoran Central,Preserve,Unknown,Forb
unk grass 2,Unknown grass 2,Unknown,Sonoran Central,Roosevelt,Unknown,Grass
