"Region","Site","Longitude","Latitude","AridityIndex"
"Sonoran Central","Pleasant",-112.3232,33.93656,0.1192
"Sonoran Central","Preserve",-111.793977,33.769527,0.1623
"Sonoran Central","Roosevelt",-111.039686,33.611153,0.1694
"Sonoran Central","SCC",-111.879212,33.513851,0.0911
"Sonoran SE","Patagonia",-110.735,31.58323,0.2064
"Sonoran SE","SRER",-110.823944,31.786117,0.2269
