Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Since_last_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Sonoran SE,SRER,32,2019-08-09T00:00:00Z,2020-09-30T00:00:00Z,130.72,2019-08-01T00:00:00Z,2020-09-30T00:00:00Z,275.93,-0.526256659297648,145.21
Sonoran SE,SRER,33,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,51.42,2019-08-01T00:00:00Z,2021-03-15T00:00:00Z,165.565,-0.6894271132183735,114.145
Sonoran SE,SRER,34,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,51.42,2019-08-01T00:00:00Z,2021-03-15T00:00:00Z,165.565,-0.6894271132183735,114.145
Sonoran SE,SRER,35,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,447.84,2019-08-01T00:00:00Z,2021-09-30T00:00:00Z,289.15500000000003,0.5487887119365044,-158.68499999999995
Sonoran SE,SRER,36,2019-08-09T00:00:00Z,2021-10-07T00:00:00Z,447.84,2019-08-01T00:00:00Z,2021-09-30T00:00:00Z,289.15500000000003,0.5487887119365044,-158.68499999999995
Sonoran SE,SRER,37,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,447.84,2019-08-01T00:00:00Z,2021-09-30T00:00:00Z,289.15500000000003,0.5487887119365044,-158.68499999999995
Sonoran SE,SRER,38,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,447.84,2019-08-01T00:00:00Z,2021-09-30T00:00:00Z,289.15500000000003,0.5487887119365044,-158.68499999999995
Sonoran SE,SRER,39,2019-08-09T00:00:00Z,2022-03-23T00:00:00Z,65.08,2019-08-01T00:00:00Z,2022-03-31T00:00:00Z,178.79,-0.635997539012249,113.71
Sonoran SE,SRER,40,2019-08-09T00:00:00Z,2022-03-24T00:00:00Z,65.08,2019-08-01T00:00:00Z,2022-03-31T00:00:00Z,178.79,-0.635997539012249,113.71
Sonoran SE,SRER,41,2019-08-09T00:00:00Z,2022-03-28T00:00:00Z,65.08,2019-08-01T00:00:00Z,2022-03-31T00:00:00Z,178.79,-0.635997539012249,113.71
