Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Cum_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Sonoran SE,Patagonia,27,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,1074.64,2019-08-01T00:00:00Z,2021-10-15T00:00:00Z,1026,0.0474074074074075,-48.6400000000001
Sonoran SE,Patagonia,28,2019-08-09T00:00:00Z,2022-03-30T00:00:00Z,1143.87,2019-08-01T00:00:00Z,2022-03-31T00:00:00Z,1168.25,-0.020868820885940602,24.38000000000011
Sonoran SE,Patagonia,29,2019-08-09T00:00:00Z,2022-03-31T00:00:00Z,1143.87,2019-08-01T00:00:00Z,2022-03-31T00:00:00Z,1168.25,-0.020868820885940602,24.38000000000011
Sonoran SE,SRER,30,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,142.96,2019-08-01T00:00:00Z,2019-10-31T00:00:00Z,173.88,-0.17782378651943861,30.919999999999987
Sonoran SE,SRER,31,2019-08-09T00:00:00Z,2020-04-02T00:00:00Z,406.98,2019-08-01T00:00:00Z,2020-03-31T00:00:00Z,327.84,0.24139824304538815,-79.14000000000004
Sonoran SE,SRER,32,2019-08-09T00:00:00Z,2020-09-30T00:00:00Z,537.7,2019-08-01T00:00:00Z,2020-09-30T00:00:00Z,603.79,-0.10945858659467683,66.08999999999992
Sonoran SE,SRER,33,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,589.12,2019-08-01T00:00:00Z,2021-03-15T00:00:00Z,769.355,-0.23426766577197783,180.235
Sonoran SE,SRER,34,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,589.12,2019-08-01T00:00:00Z,2021-03-15T00:00:00Z,769.355,-0.23426766577197783,180.235
Sonoran SE,SRER,35,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,1036.96,2019-08-01T00:00:00Z,2021-09-30T00:00:00Z,1058.53,-0.020377315711411048,21.569999999999936
Sonoran SE,SRER,36,2019-08-09T00:00:00Z,2021-10-07T00:00:00Z,1036.96,2019-08-01T00:00:00Z,2021-09-30T00:00:00Z,1058.53,-0.020377315711411048,21.569999999999936
Sonoran SE,SRER,37,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,1036.96,2019-08-01T00:00:00Z,2021-09-30T00:00:00Z,1058.53,-0.020377315711411048,21.569999999999936
Sonoran SE,SRER,38,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,1036.96,2019-08-01T00:00:00Z,2021-09-30T00:00:00Z,1058.53,-0.020377315711411048,21.569999999999936
Sonoran SE,SRER,39,2019-08-09T00:00:00Z,2022-03-23T00:00:00Z,1102.04,2019-08-01T00:00:00Z,2022-03-31T00:00:00Z,1237.32,-0.10933307470985677,135.27999999999997
Sonoran SE,SRER,40,2019-08-09T00:00:00Z,2022-03-24T00:00:00Z,1102.04,2019-08-01T00:00:00Z,2022-03-31T00:00:00Z,1237.32,-0.10933307470985677,135.27999999999997
Sonoran SE,SRER,41,2019-08-09T00:00:00Z,2022-03-28T00:00:00Z,1102.04,2019-08-01T00:00:00Z,2022-03-31T00:00:00Z,1237.32,-0.10933307470985677,135.27999999999997
