Date,ppt_mm,tmin,tmean,tmax,Site,Region
2019-12-19,0,3.4,10.3,17.2,Pleasant,Sonoran Central
2019-12-20,0,2.8,9.4,16,Pleasant,Sonoran Central
2019-12-21,0,4,11.5,19,Pleasant,Sonoran Central
2019-12-22,0,5.4,13,20.6,Pleasant,Sonoran Central
2019-12-23,0,8.3,14.5,20.7,Pleasant,Sonoran Central
2019-12-24,3.8,10,13.5,17,Pleasant,Sonoran Central
2019-12-25,18.82,8.1,10.8,13.4,Pleasant,Sonoran Central
2019-12-26,3.23,4.9,8.7,12.6,Pleasant,Sonoran Central
2019-12-27,2.86,4.6,9,13.3,Pleasant,Sonoran Central
2019-12-28,11.61,5.1,7.2,9.3,Pleasant,Sonoran Central
2019-12-29,0.02,1.1,5.8,10.6,Pleasant,Sonoran Central
2019-12-30,0,-0,4.9,9.8,Pleasant,Sonoran Central
2019-12-31,0,3.1,7.4,11.7,Pleasant,Sonoran Central
2020-01-01,0,3.7,9.3,15,Pleasant,Sonoran Central
2020-01-02,0,2.3,8.1,13.8,Pleasant,Sonoran Central
2020-01-03,0,3.2,9.7,16.2,Pleasant,Sonoran Central
2020-01-04,0,3.2,10.1,17,Pleasant,Sonoran Central
2020-01-05,0,3.8,11.3,18.8,Pleasant,Sonoran Central
2020-01-06,0,3.9,11.7,19.6,Pleasant,Sonoran Central
2020-01-07,0,4.9,12.6,20.3,Pleasant,Sonoran Central
2020-01-08,0,4.5,12.9,21.4,Pleasant,Sonoran Central
2020-01-09,0,3.6,10.7,17.7,Pleasant,Sonoran Central
2020-01-10,0,5,10.3,15.5,Pleasant,Sonoran Central
2020-01-11,0,2.6,9.4,16.1,Pleasant,Sonoran Central
2020-01-12,0,1.9,8.4,14.9,Pleasant,Sonoran Central
2020-01-13,0,1.7,9,16.3,Pleasant,Sonoran Central
2020-01-14,0,2.7,10.3,18,Pleasant,Sonoran Central
2020-01-15,0,3.4,11.2,19.1,Pleasant,Sonoran Central
2020-01-16,0,4.9,11.7,18.5,Pleasant,Sonoran Central
2020-01-17,0,6.1,12,18,Pleasant,Sonoran Central
2020-01-18,0,4.7,10.8,16.9,Pleasant,Sonoran Central
2020-01-19,0,4.5,12.5,20.6,Pleasant,Sonoran Central
2020-01-20,0,6.5,14.9,23.3,Pleasant,Sonoran Central
2020-01-21,0,11.6,16.6,21.7,Pleasant,Sonoran Central
2020-01-22,0.93,8.8,10.8,12.8,Pleasant,Sonoran Central
2020-01-23,0,6.7,11.8,16.9,Pleasant,Sonoran Central
2020-01-24,0,6.8,13.5,20.2,Pleasant,Sonoran Central
2020-01-25,0,6.3,13.6,20.9,Pleasant,Sonoran Central
2020-01-26,0,6.1,13.6,21,Pleasant,Sonoran Central
2020-01-27,0,6.4,13.4,20.4,Pleasant,Sonoran Central
2020-01-28,0,8.3,15,21.8,Pleasant,Sonoran Central
2020-01-29,0,7,13.4,19.8,Pleasant,Sonoran Central
2020-01-30,0,6.4,11.8,17.2,Pleasant,Sonoran Central
2020-01-31,0,7,13.3,19.6,Pleasant,Sonoran Central
2020-02-01,0,5.7,13.6,21.5,Pleasant,Sonoran Central
2020-02-02,0,6.3,15.1,23.8,Pleasant,Sonoran Central
2020-02-03,0,6.9,15.1,23.3,Pleasant,Sonoran Central
2020-02-04,0,0.8,8.4,16,Pleasant,Sonoran Central
2020-02-05,0,-0.3,5.3,10.8,Pleasant,Sonoran Central
2020-02-06,0,-0.5,5.4,11.4,Pleasant,Sonoran Central
2020-02-07,0,0.5,7.3,14.2,Pleasant,Sonoran Central
2020-02-08,0,2.5,10.3,18.1,Pleasant,Sonoran Central
2020-02-09,0,3.6,11.9,20.3,Pleasant,Sonoran Central
2020-02-10,0,6.1,13.3,20.5,Pleasant,Sonoran Central
2020-02-11,26.68,7,13.3,19.6,Pleasant,Sonoran Central
2020-02-12,3.5,3.5,8.9,14.3,Pleasant,Sonoran Central
2020-02-13,0,2.9,9.3,15.6,Pleasant,Sonoran Central
2020-02-14,0,3.3,10.7,18.1,Pleasant,Sonoran Central
2020-02-15,0,5.8,12.8,19.7,Pleasant,Sonoran Central
2020-02-16,0,5.1,12.6,20,Pleasant,Sonoran Central
2020-02-17,0,5.4,13.3,21.2,Pleasant,Sonoran Central
2020-02-18,0,6.2,14.1,22,Pleasant,Sonoran Central
2020-02-19,0,7.6,15.3,23,Pleasant,Sonoran Central
2020-02-20,0,8.3,15.8,23.4,Pleasant,Sonoran Central
2020-02-21,0,8.1,16.3,24.5,Pleasant,Sonoran Central
2020-02-22,3.08,12.5,17.9,23.4,Pleasant,Sonoran Central
2020-02-23,19.11,8.4,13.1,17.7,Pleasant,Sonoran Central
2020-02-24,0,7.1,11.7,16.2,Pleasant,Sonoran Central
2020-02-25,0,6.5,13.3,20.2,Pleasant,Sonoran Central
2020-02-26,0,5.5,11.9,18.2,Pleasant,Sonoran Central
2020-02-27,0,3.7,11.1,18.6,Pleasant,Sonoran Central
2020-02-28,0,4.7,13.5,22.4,Pleasant,Sonoran Central
2020-02-29,0,7.6,15.4,23.2,Pleasant,Sonoran Central
2020-03-01,0,6.2,14.6,23.1,Pleasant,Sonoran Central
2020-03-02,0,7.3,14.2,21.1,Pleasant,Sonoran Central
2020-03-03,0.37,6.8,12.2,17.6,Pleasant,Sonoran Central
2020-03-04,0,7.2,15.1,23,Pleasant,Sonoran Central
2020-03-05,0,7.2,14,20.9,Pleasant,Sonoran Central
2020-03-06,0,7.9,17.3,26.7,Pleasant,Sonoran Central
2020-03-07,0,11.9,19.4,26.9,Pleasant,Sonoran Central
2020-03-08,0,11.6,18.7,25.7,Pleasant,Sonoran Central
2020-03-09,0,8.7,14.7,20.7,Pleasant,Sonoran Central
2020-03-10,0.88,7.8,15.1,22.4,Pleasant,Sonoran Central
