Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
KRLA2,16,3.571428571428571,0.03571428571428571,Projected mix,drier,"BarTBar, FlyingM","Projected mix, drier"
POSE,15,3.3482142857142856,0.033482142857142856,Projected mix,drier,"BarTBar, FlyingM","Projected mix, drier"
PLJA,14,3.125,0.03125,Projected mix,drier,"BarTBar, FlyingM","Projected mix, drier"
ARPU9,10,2.840909090909091,0.028409090909090908,Projected mix,drier,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, drier"
BOCU,10,2.840909090909091,0.028409090909090908,Projected mix,drier,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, drier"
SPCR,9,2.0089285714285716,0.020089285714285716,Projected mix,drier,"BarTBar, FlyingM","Projected mix, drier"
ASTU,5,1.4204545454545454,0.014204545454545454,Projected mix,drier,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, drier"
LILE3,2,0.8928571428571428,0.008928571428571428,Projected mix,drier,BabbitPJ,"Projected mix, drier"
PLMU3,2,0.5681818181818182,0.005681818181818182,Projected mix,drier,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, drier"
PEPA8,1,0.2232142857142857,0.002232142857142857,Projected mix,drier,"BarTBar, FlyingM","Projected mix, drier"
BAMU,74,38.7434554973822,0.387434554973822,Projected mix,wettest,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, wettest"
ASTU,49,25.654450261780106,0.25654450261780104,Projected mix,wettest,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, wettest"
SECO10,42,21.98952879581152,0.2198952879581152,Projected mix,wettest,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, wettest"
LILE3,34,21.25,0.2125,Projected mix,wettest,BabbitPJ,"Projected mix, wettest"
ACMI2,17,10.625,0.10625,Projected mix,wettest,BabbitPJ,"Projected mix, wettest"
ELEL5,14,8.75,0.0875,Projected mix,wettest,BabbitPJ,"Projected mix, wettest"
ACHY,16,8.37696335078534,0.08376963350785341,Projected mix,wettest,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, wettest"
PASM,12,7.5,0.075,Projected mix,wettest,BabbitPJ,"Projected mix, wettest"
BOGR2,7,4.375,0.04375,Projected mix,wettest,BabbitPJ,"Projected mix, wettest"
BOER4,5,2.4154589371980677,0.024154589371980676,Projected mix,wettest,"BarTBar, FlyingM","Projected mix, wettest"
ARPU9,3,1.5706806282722512,0.015706806282722512,Projected mix,wettest,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, wettest"
BOCU,3,1.5706806282722512,0.015706806282722512,Projected mix,wettest,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, wettest"
DACA7,2,1.25,0.0125,Projected mix,wettest,BabbitPJ,"Projected mix, wettest"
MATA2,1,0.4830917874396135,0.004830917874396135,Projected mix,wettest,"BarTBar, FlyingM","Projected mix, wettest"
PASM,16,16.666666666666664,0.16666666666666663,Projected mix,driest,BabbitPJ,"Projected mix, driest"
BAMU,14,9.722222222222223,0.09722222222222224,Projected mix,driest,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, driest"
ELEL5,9,9.375,0.09375,Projected mix,driest,BabbitPJ,"Projected mix, driest"
HEMU3,9,9.375,0.09375,Projected mix,driest,BabbitPJ,"Projected mix, driest"
ACHY,7,4.861111111111112,0.04861111111111112,Projected mix,driest,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, driest"
KRLA2,4,2.083333333333333,0.02083333333333333,Projected mix,driest,"BarTBar, FlyingM","Projected mix, driest"
PLJA,2,1.0416666666666665,0.010416666666666664,Projected mix,driest,"BarTBar, FlyingM","Projected mix, driest"
LILE3,1,1.0416666666666665,0.010416666666666664,Projected mix,driest,BabbitPJ,"Projected mix, driest"
PEPA8,1,0.5208333333333333,0.005208333333333332,Projected mix,driest,"BarTBar, FlyingM","Projected mix, driest"
POSE,1,0.5208333333333333,0.005208333333333332,Projected mix,driest,"BarTBar, FlyingM","Projected mix, driest"
SPCR,1,0.5208333333333333,0.005208333333333332,Projected mix,driest,"BarTBar, FlyingM","Projected mix, driest"
Empty,1061,34.18170103092783,0.34181701030927836,Empty seeded,total,NA,"Empty seeded, total"
Empty,418,21.41393442622951,0.21413934426229508,Empty seeded,wetter,NA,"Empty seeded, wetter"
Empty,643,91.33522727272727,0.9133522727272727,Empty seeded,drier,NA,"Empty seeded, drier"
Empty,121,10.503472222222223,0.10503472222222224,Empty seeded,wettest,NA,"Empty seeded, wettest"
Empty,348,72.5,0.725,Empty seeded,driest,NA,"Empty seeded, driest"
