Region,Site,Date_Seeded,Monitored_Previous,Date_Monitored,SiteDateID,Days_elapsed,Days_since_last,Monitor_season
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2020-03-30T00:00:00Z,2020-03-30T00:00:00Z,120,102,0,Spring
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2020-03-30T00:00:00Z,2020-10-14T00:00:00Z,121,300,198,Fall
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2020-10-14T00:00:00Z,2021-04-02T00:00:00Z,122,470,170,Spring
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2021-04-02T00:00:00Z,2021-10-04T00:00:00Z,123,655,185,Fall
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2021-10-04T00:00:00Z,2022-03-29T00:00:00Z,124,831,176,Spring
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2022-03-29T00:00:00Z,2023-03-24T00:00:00Z,125,1191,360,Spring
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2020-03-26T00:00:00Z,2020-03-26T00:00:00Z,126,122,0,Spring
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2020-03-26T00:00:00Z,2020-10-12T00:00:00Z,127,322,200,Fall
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2020-10-12T00:00:00Z,2021-03-30T00:00:00Z,128,491,169,Spring
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2021-03-30T00:00:00Z,2021-10-06T00:00:00Z,129,681,190,Fall
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2021-10-06T00:00:00Z,2022-03-31T00:00:00Z,130,857,176,Spring
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2020-03-25T00:00:00Z,2020-03-25T00:00:00Z,131,124,0,Spring
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2020-03-25T00:00:00Z,2020-10-15T00:00:00Z,132,328,204,Fall
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2020-10-15T00:00:00Z,2021-04-01T00:00:00Z,133,496,168,Spring
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2021-04-01T00:00:00Z,2021-10-08T00:00:00Z,134,686,190,Fall
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2021-10-08T00:00:00Z,2022-03-28T00:00:00Z,135,857,171,Spring
Sonoran Central,SCC,2019-11-21T00:00:00Z,2020-03-27T00:00:00Z,2020-03-27T00:00:00Z,136,127,0,Spring
Sonoran Central,SCC,2019-11-21T00:00:00Z,2020-03-27T00:00:00Z,2020-10-13T00:00:00Z,137,327,200,Fall
Sonoran Central,SCC,2019-11-21T00:00:00Z,2020-10-13T00:00:00Z,2021-03-31T00:00:00Z,138,496,169,Spring
Sonoran Central,SCC,2019-11-21T00:00:00Z,2021-03-31T00:00:00Z,2021-10-13T00:00:00Z,139,692,196,Fall
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,2019-11-12T00:00:00Z,140,95,0,Fall
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,2020-03-30T00:00:00Z,141,234,139,Spring
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2020-03-30T00:00:00Z,2020-10-01T00:00:00Z,142,419,185,Fall
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2020-03-30T00:00:00Z,2020-10-04T00:00:00Z,143,422,188,Fall
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2020-10-01T00:00:00Z,2021-03-12T00:00:00Z,144,581,162,Spring
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,2021-10-13T00:00:00Z,145,796,215,Fall
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,2021-10-14T00:00:00Z,146,797,216,Fall
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,2022-03-30T00:00:00Z,147,964,168,Spring
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,2022-03-31T00:00:00Z,148,965,168,Spring
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,2019-11-07T00:00:00Z,149,90,0,Fall
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,2020-04-02T00:00:00Z,150,237,147,Spring
Sonoran SE,SRER,2019-08-09T00:00:00Z,2020-04-02T00:00:00Z,2020-09-30T00:00:00Z,151,418,181,Fall
Sonoran SE,SRER,2019-08-09T00:00:00Z,2020-09-30T00:00:00Z,2021-03-10T00:00:00Z,152,579,161,Spring
Sonoran SE,SRER,2019-08-09T00:00:00Z,2020-09-30T00:00:00Z,2021-03-11T00:00:00Z,153,580,162,Spring
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,2021-10-06T00:00:00Z,154,789,210,Fall
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,2021-10-07T00:00:00Z,155,790,211,Fall
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,2021-10-08T00:00:00Z,156,791,211,Fall
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,2021-10-09T00:00:00Z,157,792,212,Fall
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,2022-03-23T00:00:00Z,158,957,168,Spring
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-10-07T00:00:00Z,2022-03-24T00:00:00Z,159,958,168,Spring
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,2022-03-28T00:00:00Z,160,962,171,Spring
