CodeOriginal,Code,Name
LETH2,LETH2,Lepidium thurberi
LEPA6,LEPA6,Leptochloa panicea
LEAU16,LEAU16,Leptosiphon aureus
LILE,LILE,Leptosiphon lemmonii
LECI4,LECI4,Leymus cinereus
LILE3,LILE3,Linum lewisii
BOSPP,BOSPP.AguaFria,"local Bouteloua species (unknown), AguaFria"
BOSPP,BOSPP.BarTBar,"local Bouteloua species (unknown), BarTBar"
BOSPP,BOSPP.FlyingM,"local Bouteloua species (unknown), FlyingM"
BOSPP,BOSPP.PEFO,"local Bouteloua species (unknown), PEFO"
BOSPP,BOSPP.Spiderweb,"local Bouteloua species (unknown), Spiderweb"
LOSQ,LOSQ,Loeflingia squarrosa
LOESE2,LOESE2,Loeseliastrum franciscanum
LOAR12,LOAR12,Logfia arizonica
LOHU2,LOHU2,Lotus humistratus
LOSA,LOSA,Lotus salsuginosus
LOSTT,LOSTT,Lotus strigosus
LUCO,LUCO,Lupinus concinnus
LUSP2,LUSP2,Lupinus sparsiflorus
LUSP,LUSP,Lupinus sparsiflorus (?)
LUPSPP,LUPSPP,Lupinus spp.
LUSPP,LUSPP,Lupinus spp.
MAGR10,MAGR10,Machaeranthera gracilis
MACSPP,MACSPP,Machaeranthera spp.
MATA2,MATA2,Machaeranthera tanacetifolia
MAGL3,MAGL3,Malacothrix glabrata
MAPA5,MAPA5,Malva parviflora
MADI6,MADI6,Matricaria discoidea
MEIN2,MEIN2,Melilotus indicus
MEOF,MEOF,Melilotus officinalis
MEAL6,MEAL6,Mentzelia albicaulis
MEMO4,MEMO4,Mentzelia montana
MENSPP,MENSPP,Mentzelia spp.
PROACASPP,PROACASPP,Mesquite/Acacia species
MIGR,MIGR,Microsteris gracilis
MOCE,MOCE,Mollugo cerviana
MOVE,MOVE,Mollugo verticillata
MONU,MONU,Monolepis nuttalliana
OESP,OESP,Oenothera spp.
ONPI,ONPI,Oncosiphon piluliferum
PAHI7,PAHI7,Oplismenus hirtellus (Panicum hirtellum)
PACA6,PACA6,Panicum capillare
PAHI5,PAHI5,Panicum hirticaule
PANSPP,PANSPP,Panicum spp.
PASM,PASM,Pascopyrum smithii
PEPA2,PEPA2,Pectis papposa
PECTO,PECTO,Pectocarya
PEHE,PEHE,Pectocarya heterocarpa
PEPL,PEPL,Pectocarya platycarpa
PERE,PERE,Pectocarya recurvata
PECSPP,PECSPP,Pectocarya spp.
PEPA8,PEPA8,Penstemon palmeri
PHDI,PHDI,Phacelia distans
PHNE3,PHNE3,Phacelia neomexicana
PHSPP,PHSPP,Phacelia spp.
PHLO2,PHLO2,Phlox longifolia
PLAR,PLAR,Plagiobothrys arizonicus
PLPR3,PLPR3,Plagiobothrys pringlei
PLANT,PLANT,Plantago
PLOV,PLOV,Plantago ovata
PLPA2,PLPA2,Plantago patagonica
PLASPP,PLASPP,Plantago spp.
PLJA,PLJA,Pleuraphis jamesii
POBI,POBI,Poa bigelovii
POSE,POSE,Poa secunda
POOL,POOL,Portulaca oleracea
POPI3,POPI3,Portulaca pilosa
PORSPP,PORSPP,Portulaca spp.
POUM,POUM,Portulaca umbraticola
PRGL2,PRGL2,Prosopis glandulosa
PSCA11,PSCA11,Pseudognaphalium canescens
SATR12,SATR12,Salsola tragus
SACO6,SACO6,Salvia columbariae
SARE3,SARE3,Salvia reflexa
SAAB,SAAB,Sanvitalia abertii
SCBA,SCBA,Schismus barbatus
SCMU6,SCMU6,Schkuhria multiflora
SCPI3,SCPI3,Schkuhria pinnata
S-UNFO2,S-UNFO2.CRC,"Seeded unknown forb 2, CRC"
S-UNFO2,S-UNFO2.Salt_Desert,"Seeded unknown forb 2, Salt_Desert"
SUNGR,SUNGR.BabbittPJ,"Seeded unknown grass (?), BabbittPJ"
SUNGR,SUNGR.TLE,"Seeded unknown grass (?), TLE"
S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC"
S-UNGR1,S-UNGR1.Salt_Desert,"Seeded unknown grass 1, Salt_Desert"
S-UNGR2,S-UNGR2.CRC,"Seeded unknown grass 2, CRC"
S-UNGR2,S-UNGR2.Salt_Desert,"Seeded unknown grass 2, Salt_Desert"
S-UNGR2,S-UNGR2.UtahPJ,"Seeded unknown grass 2, UtahPJ"
S-UNGR3,S-UNGR3.CRC,"Seeded unknown grass 3, CRC"
S-UNGR3,S-UNGR3.Salt_Desert,"Seeded unknown grass 3, Salt_Desert"
S-UNGR3,S-UNGR3.UtahPJ,"Seeded unknown grass 3, UtahPJ"
S-UNGR4,S-UNGR4.CRC,"Seeded unknown grass 4, CRC"
S-UNGR4,S-UNGR4.UtahPJ,"Seeded unknown grass 4, UtahPJ"
S-UNGR5,S-UNGR5.UtahPJ,"Seeded unknown grass 5, UtahPJ"
SEBA2,SEBA2,Senna bacillaris
SECO10,SECO10,Senna covesii
SIAB,SIAB,Sida abutifolia
SINE,SINE,Sida neomexicana
SIDSPP,SIDSPP,Sida spp.
SIAN2,SIAN2,Silene antirrhina
SIAL2,SIAL2,Sisymbrium altissimum
SIIR,SIIR,Sisymbrium irio
SOEL,SOEL,Solanum elaeagnifolium
SORO,SORO,Solanum rostratum
SOSP,SOSP,Solanum spp.
SOOL,SOOL,Sonchus oleraceus
SPEC2,SPEC2,Spermolepis echinata
SPAM2,SPAM2,Sphaeralcea ambigua
SPCO,SPCO,Sphaeralcea coccinea
SPGR2,SPGR2,Sphaeralcea grossulariifolia
SPSP,SPSP,Sphaeralcea spp.
SPCR,SPCR,Sporobolus cryptandrus
Unksporob,Unksporob,Sporobolus spp.
STISPP,STISPP,Stipa spp.
STGN,STGN,Stylocline gnaphalioides
TAPO5,TAPO5,Talinum polygaloides
TILA2,TILA2,Tidestromia lanuginosa
TOIN,TOIN,Townsendia incana
TRPI,TRPI,Tradescantia pinetorum
TRTE,TRTE,Tribulus terrestris
TRMU,TRMU,Tridens muticus
Trifolium,Trifolium,Trifolium spp.
Unkaster,Unkaster.Mesquite,"Unknown aster, Mesquite"
ATCA,ATCA.Mesquite,"Unknown ATCA (but not Atriplex, a grass?), Mesquite"
UNK brown,UNK brown.SCC,"Unknown brown, SCC"
