Code,Name,Duration,Lifeform,Native,CodeOriginal
0,0,0,0,0,0
ABPA3,Abutilon parvulum,Perennial,Forb,Native,ABPA3
ACHY,Achnatherum hymenoides,Perennial,Grass,Native,ACHY
ACMI2,Achillea millefolium,Perennial,Forb,Native,ACMI2
ACMIS,Acmispon (Lotus),Unknown,Forb,Native,ACMIS
ACNA2,Acourtia nana,Perennial,Forb,Native,ACNA2
ALIN,Allionia incarnata,Unknown,Forb,Native,ALIN
AMCH3,Ammocodon chenopodioides,Perennial,Forb,Native,AMCH3
AMCO3,Ambrosia confertiflora,Perennial,Forb,Native,AMCO3
AMDE4,Ambrosia deltoidea,Perennial,Shrub,Native,AMDE4
AMDU2,Ambrosia dumosa,Perennial,Shrub,Native,AMDU2
AMMEI2,Amsinckia menziesii,Annual,Forb,Native,AMMEI2
AMPA,Amaranthus palmeri,Annual,Forb,Native,AMPA
AMSIN,Amsinckia,Annual,Forb,Native,AMSIN
AMTE3,Amsinckia tessellata,Annual,Forb,Native,AMTE3
AMTO3,Ambrosia tomentosa,Perennial,Forb,Native,AMTO3
ANCR2,Anoda cristata,Annual,Forb,Native,ANCR2
ARAD,Aristida adscensionis,Annual,Grass,Native,ARAD
ARFR4,Artemisia frigida,Perennial,Shrub,Native,ARFR4
ARNE2,Argythamnia neomexicana,Unknown,Forb,Native,ARNE2
ARPU9,Aristida purpurea,Perennial,Grass,Native,ARPU9
ARTE3,Aristida ternipes,Perennial,Grass,Native,ARTE3
ARWA,Aristolochia watsonii,Perennial,Forb,Native,ARWA
ASNU4,Astragalus nuttallianus,Unknown,Forb,Native,ASNU4
ASNU5,Astragalus nuttallii,Perennial,Forb,Introduced,ASNU5
ASTU,Asclepias tuberosa,Perennial,Forb,Native,ASTU
ATCA2,Atriplex canescens,Perennial,Shrub,Native,ATCA2
ATCO,Atriplex confertifolia,Perennial,Shrub,Native,ATCO
AVFA,Avena fatua,Annual,Grass,Introduced,AVFA
BAAB,Bahia absinthifolia,Perennial,Forb,Native,BAAB
BAHI,Balsamorhiza hookeri,Perennial,Forb,Native,BAHI
BAMU,Baileya multiradiata,Unknown,Forb,Native,BAMU
BOAR,Bouteloua aristidoides,Annual,Grass,Native,BOAR
BOBA2,Bouteloua barbata,Annual,Grass,Native,BOBA2
BOBAB3,Bouteloua barbata v. barbata,Annual,Grass,Native,BOBAB3
BOCO,Boerhavia coccinea,Perennial,Forb,Native,BOCO
BOCU,Bouteloua curtipendula,Perennial,Grass,Native,BOCU
BOER4,Bouteloua eriopoda,Perennial,Grass,Native,BOER4
BOERH2,Boerhavia,Unknown,Forb,Native,BOERH2
BOGR2,Bouteloua gracilis,Perennial,Grass,Native,BOGR2
BOIN,Boerhavia intermedia,Annual,Forb,Native,BOIN
BOIN3,Bowlesia incana,Annual,Forb,Native,BOIN3
BORA,Bouteloua radicosa,Perennial,Grass,Native,BORA
BORO2,Bouteloua rothrockii,Perennial,Grass,Native,BORO2
BOSI2,Bouteloua simplex,Annual,Grass,Native,BOSI2
