Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Cum_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Colorado Plateau,FlyingM,55,2018-07-18T00:00:00Z,2018-09-13T00:00:00Z,107.35,2018-07-15T00:00:00Z,2018-09-15T00:00:00Z,104.78999999999999,0.024429812004962328,-2.5600000000000023
Colorado Plateau,FlyingM,56,2018-07-18T00:00:00Z,2018-10-19T00:00:00Z,179.27,2018-07-15T00:00:00Z,2018-10-15T00:00:00Z,137.625,0.30259763851044513,-41.64500000000001
Colorado Plateau,FlyingM,57,2018-07-18T00:00:00Z,2018-11-07T00:00:00Z,187.92,2018-07-15T00:00:00Z,2018-10-31T00:00:00Z,151.025,0.2442973017712298,-36.89499999999998
Colorado Plateau,FlyingM,58,2018-07-18T00:00:00Z,2018-11-21T00:00:00Z,187.92,2018-07-15T00:00:00Z,2018-11-30T00:00:00Z,173.805,0.08121170277034596,-14.11499999999998
Colorado Plateau,FlyingM,59,2018-07-18T00:00:00Z,2018-12-07T00:00:00Z,201.42,2018-07-15T00:00:00Z,2018-11-30T00:00:00Z,173.805,0.15888495727970992,-27.61499999999998
Colorado Plateau,FlyingM,60,2018-07-18T00:00:00Z,2019-04-24T00:00:00Z,331.63,2018-07-15T00:00:00Z,2019-04-30T00:00:00Z,313.725,0.057072276675432215,-17.904999999999973
Colorado Plateau,FlyingM,61,2018-07-18T00:00:00Z,2019-06-12T00:00:00Z,364.96,2018-07-15T00:00:00Z,2019-06-15T00:00:00Z,328.77,0.1100769534933236,-36.19
Colorado Plateau,FlyingM,62,2018-07-18T00:00:00Z,2020-07-15T00:00:00Z,684.09,2018-07-15T00:00:00Z,2020-07-15T00:00:00Z,712.82,-0.04030470525518366,28.730000000000018
Colorado Plateau,FlyingM,63,2020-07-17T00:00:00Z,2020-10-07T00:00:00Z,32.54,2020-07-15T00:00:00Z,2020-09-30T00:00:00Z,124.225,-0.7380559468705977,91.685
Colorado Plateau,FlyingM,64,2020-07-17T00:00:00Z,2021-05-19T00:00:00Z,121.72,2020-07-15T00:00:00Z,2021-05-15T00:00:00Z,319.65,-0.6192085093070546,197.92999999999998
Colorado Plateau,FlyingM,65,2020-07-17T00:00:00Z,2021-10-21T00:00:00Z,374.08,2020-07-15T00:00:00Z,2021-10-31T00:00:00Z,507.435,-0.262802132292806,133.35500000000002
Colorado Plateau,FlyingM,66,2020-07-17T00:00:00Z,2022-04-19T00:00:00Z,485.59,2020-07-15T00:00:00Z,2022-04-15T00:00:00Z,663.275,-0.26789039237118845,177.685
Colorado Plateau,MOWE,67,2018-08-30T00:00:00Z,2018-09-14T00:00:00Z,3.75,2018-09-01T00:00:00Z,2018-09-15T00:00:00Z,19.12,-0.8038702928870293,15.370000000000001
Colorado Plateau,MOWE,68,2018-08-30T00:00:00Z,2018-09-27T00:00:00Z,6.98,2018-09-01T00:00:00Z,2018-09-30T00:00:00Z,38.24,-0.8174686192468619,31.26
Colorado Plateau,MOWE,69,2018-08-30T00:00:00Z,2018-10-15T00:00:00Z,108.89,2018-09-01T00:00:00Z,2018-10-15T00:00:00Z,52.135000000000005,1.0886160928359065,-56.754999999999995
Colorado Plateau,MOWE,70,2018-08-30T00:00:00Z,2018-10-31T00:00:00Z,114.17,2018-09-01T00:00:00Z,2018-10-31T00:00:00Z,66.03,0.7290625473269726,-48.14
Colorado Plateau,MOWE,71,2018-08-30T00:00:00Z,2018-11-14T00:00:00Z,114.17,2018-09-01T00:00:00Z,2018-11-15T00:00:00Z,77.445,0.47420750209826346,-36.72500000000001
Colorado Plateau,MOWE,72,2018-08-30T00:00:00Z,2018-11-29T00:00:00Z,114.17,2018-09-01T00:00:00Z,2018-11-30T00:00:00Z,88.86,0.28483006977267616,-25.310000000000002
Colorado Plateau,MOWE,73,2018-08-30T00:00:00Z,2018-12-10T00:00:00Z,128.54,2018-09-01T00:00:00Z,2018-11-30T00:00:00Z,88.86,0.446545127166329,-39.67999999999999
Colorado Plateau,MOWE,74,2018-08-30T00:00:00Z,2019-03-27T00:00:00Z,288.43,2018-09-01T00:00:00Z,2019-03-31T00:00:00Z,237.05,0.21674752161991137,-51.379999999999995
Colorado Plateau,MOWE,75,2018-08-30T00:00:00Z,2019-06-11T00:00:00Z,312.92,2018-09-01T00:00:00Z,2019-06-15T00:00:00Z,264.83,0.18158818864932233,-48.09000000000003
Colorado Plateau,MOWE,76,2018-08-30T00:00:00Z,2020-07-22T00:00:00Z,753.18,2018-09-01T00:00:00Z,2020-07-31T00:00:00Z,684.4200000000001,0.10046462698343103,-68.75999999999988
Colorado Plateau,MOWE,77,2020-07-22T00:00:00Z,2020-09-14T00:00:00Z,19.54,2020-08-01T00:00:00Z,2020-09-15T00:00:00Z,76.67,-0.7451415155862788,57.13
Colorado Plateau,MOWE,78,2020-07-22T00:00:00Z,2021-05-27T00:00:00Z,128.37,2020-08-01T00:00:00Z,2021-05-31T00:00:00Z,320.61,-0.5996069991578553,192.24
Colorado Plateau,MOWE,79,2020-07-22T00:00:00Z,2022-04-18T00:00:00Z,539.43,2020-08-01T00:00:00Z,2022-04-15T00:00:00Z,673.19,-0.1986957619691322,133.7600000000001
Colorado Plateau,PEFO,80,2018-08-15T00:00:00Z,2018-08-28T00:00:00Z,14.86,2018-08-15T00:00:00Z,2018-08-31T00:00:00Z,19.505,-0.2381440656241989,4.645
Colorado Plateau,PEFO,81,2018-08-15T00:00:00Z,2018-09-11T00:00:00Z,30.67,2018-08-15T00:00:00Z,2018-09-15T00:00:00Z,32.59,-0.05891377723227988,1.9200000000000017
Colorado Plateau,PEFO,82,2018-08-15T00:00:00Z,2018-09-25T00:00:00Z,33.660000000000004,2018-08-15T00:00:00Z,2018-09-30T00:00:00Z,45.675,-0.2630541871921181,12.014999999999993
Colorado Plateau,PEFO,83,2018-08-15T00:00:00Z,2018-10-11T00:00:00Z,82.66,2018-08-15T00:00:00Z,2018-10-15T00:00:00Z,56.7,0.457848324514991,-25.959999999999994
Colorado Plateau,PEFO,84,2018-08-15T00:00:00Z,2018-10-25T00:00:00Z,116.42,2018-08-15T00:00:00Z,2018-10-31T00:00:00Z,67.725,0.7190107050572169,-48.69500000000001
Colorado Plateau,PEFO,85,2018-08-15T00:00:00Z,2018-11-06T00:00:00Z,120.66,2018-08-15T00:00:00Z,2018-10-31T00:00:00Z,67.725,0.7816168327796236,-52.935
Colorado Plateau,PEFO,86,2018-08-15T00:00:00Z,2018-11-20T00:00:00Z,120.66,2018-08-15T00:00:00Z,2018-11-15T00:00:00Z,75.77,0.5924508380625578,-44.89
Colorado Plateau,PEFO,87,2018-08-15T00:00:00Z,2018-12-06T00:00:00Z,123.07,2018-08-15T00:00:00Z,2018-11-30T00:00:00Z,83.815,0.46835292012169655,-39.254999999999995
Colorado Plateau,PEFO,88,2018-08-15T00:00:00Z,2019-04-08T00:00:00Z,222.38,2018-08-15T00:00:00Z,2019-03-31T00:00:00Z,152.825,0.4551284148535908,-69.555
Colorado Plateau,PEFO,89,2018-08-15T00:00:00Z,2019-06-18T00:00:00Z,245.89,2018-08-15T00:00:00Z,2019-06-15T00:00:00Z,176.215,0.395397667621939,-69.67499999999998
Colorado Plateau,PEFO,90,2018-08-15T00:00:00Z,2020-07-23T00:00:00Z,491.29,2018-08-15T00:00:00Z,2020-07-31T00:00:00Z,452.005,0.08691275538987406,-39.285000000000025
Colorado Plateau,PEFO,91,2020-07-23T00:00:00Z,2020-10-07T00:00:00Z,18.48,2020-08-01T00:00:00Z,2020-09-30T00:00:00Z,65.18,-0.7164774470696532,46.7
Colorado Plateau,PEFO,92,2020-07-23T00:00:00Z,2021-06-11T00:00:00Z,88.79,2020-08-01T00:00:00Z,2021-06-15T00:00:00Z,195.72,-0.5463417126507255,106.92999999999999
Colorado Plateau,PEFO,93,2020-07-23T00:00:00Z,2022-04-12T00:00:00Z,324.68,2020-08-01T00:00:00Z,2022-04-15T00:00:00Z,418.14,-0.22351365571339737,93.45999999999998
Colorado Plateau,Spiderweb,94,2018-08-01T00:00:00Z,2018-08-16T00:00:00Z,13.02,2018-08-01T00:00:00Z,2018-08-15T00:00:00Z,15.37,-0.15289525048796354,2.3499999999999996
Colorado Plateau,Spiderweb,95,2018-08-01T00:00:00Z,2018-08-29T00:00:00Z,36.400000000000006,2018-08-01T00:00:00Z,2018-08-31T00:00:00Z,30.74,0.18412491867273933,-5.660000000000007
Colorado Plateau,Spiderweb,96,2018-08-01T00:00:00Z,2018-09-10T00:00:00Z,41.870000000000005,2018-08-01T00:00:00Z,2018-08-31T00:00:00Z,30.74,0.3620689655172416,-11.130000000000006
Colorado Plateau,Spiderweb,97,2018-08-01T00:00:00Z,2018-09-28T00:00:00Z,50.09,2018-08-01T00:00:00Z,2018-09-30T00:00:00Z,55.599999999999994,-0.09910071942446028,5.509999999999991
Colorado Plateau,Spiderweb,98,2018-08-01T00:00:00Z,2018-10-12T00:00:00Z,83.95,2018-08-01T00:00:00Z,2018-10-15T00:00:00Z,65.66,0.2785561985988426,-18.290000000000006
Colorado Plateau,Spiderweb,99,2018-08-01T00:00:00Z,2018-11-08T00:00:00Z,113.52,2018-08-01T00:00:00Z,2018-10-31T00:00:00Z,75.72,0.4992076069730586,-37.8
Colorado Plateau,Spiderweb,100,2018-08-01T00:00:00Z,2018-11-27T00:00:00Z,113.52,2018-08-01T00:00:00Z,2018-11-30T00:00:00Z,83.87,0.3535233098843447,-29.64999999999999
Colorado Plateau,Spiderweb,101,2018-08-01T00:00:00Z,2019-04-01T00:00:00Z,259.33,2018-08-01T00:00:00Z,2019-03-31T00:00:00Z,139.32999999999998,0.8612646235555875,-120
Colorado Plateau,Spiderweb,102,2018-08-01T00:00:00Z,2019-06-10T00:00:00Z,279.73,2018-08-01T00:00:00Z,2019-05-31T00:00:00Z,160.12,0.7470022483137647,-119.61000000000001
Colorado Plateau,Spiderweb,103,2018-08-01T00:00:00Z,2020-07-14T00:00:00Z,441.02,2018-08-01T00:00:00Z,2020-07-15T00:00:00Z,372.61,0.18359679020960243,-68.40999999999997
Colorado Plateau,Spiderweb,104,2020-07-21T00:00:00Z,2020-09-22T00:00:00Z,0.78,2020-08-01T00:00:00Z,2020-09-30T00:00:00Z,55.599999999999994,-0.9859712230215827,54.81999999999999
Colorado Plateau,Spiderweb,105,2020-07-21T00:00:00Z,2021-06-08T00:00:00Z,114.76,2020-08-01T00:00:00Z,2021-05-31T00:00:00Z,160.12,-0.28328753434923803,45.36
Colorado Plateau,Spiderweb,106,2020-07-21T00:00:00Z,2021-09-29T00:00:00Z,211.71,2020-08-01T00:00:00Z,2021-09-30T00:00:00Z,248.97,-0.1496565851307386,37.25999999999999
Colorado Plateau,Spiderweb,107,2020-07-21T00:00:00Z,2022-04-25T00:00:00Z,320.24,2020-08-01T00:00:00Z,2022-04-30T00:00:00Z,344.57,-0.07060974547987342,24.329999999999984
Colorado Plateau,TLE,108,2019-07-25T00:00:00Z,2019-08-19T00:00:00Z,7.9,2019-08-01T00:00:00Z,2019-08-15T00:00:00Z,14.275,-0.446584938704028,6.375
Colorado Plateau,TLE,109,2019-07-25T00:00:00Z,2019-10-04T00:00:00Z,23.99,2019-08-01T00:00:00Z,2019-09-30T00:00:00Z,53.120000000000005,-0.5483810240963856,29.130000000000006
Colorado Plateau,TLE,110,2019-07-25T00:00:00Z,2020-10-09T00:00:00Z,176.14,2019-08-01T00:00:00Z,2020-09-30T00:00:00Z,255.24,-0.30990440369847994,79.10000000000002
Colorado Plateau,TLE,111,2019-07-25T00:00:00Z,2021-05-28T00:00:00Z,195.67,2019-08-01T00:00:00Z,2021-05-31T00:00:00Z,376.34000000000003,-0.48007121220173254,180.67000000000004
Mojave,29_Palms,112,2020-03-13T00:00:00Z,2020-04-29T00:00:00Z,69.59,2020-03-15T00:00:00Z,2020-04-30T00:00:00Z,7.225,8.631833910034603,-62.365
Mojave,29_Palms,113,2020-03-13T00:00:00Z,2021-03-30T00:00:00Z,93.75,2020-03-15T00:00:00Z,2021-03-31T00:00:00Z,93.165,0.006279182096280724,-0.5849999999999937
Mojave,29_Palms,114,2021-12-19T00:00:00Z,2022-04-15T00:00:00Z,8.89,2021-12-15T00:00:00Z,2022-04-15T00:00:00Z,44.335,-0.799481222510432,35.445
Mojave,AVRCD,115,2020-03-17T00:00:00Z,2020-04-30T00:00:00Z,97.64,2020-03-15T00:00:00Z,2020-04-30T00:00:00Z,29.595,2.2992059469504986,-68.045
Mojave,AVRCD,116,2020-03-17T00:00:00Z,2021-04-06T00:00:00Z,166.96,2020-03-15T00:00:00Z,2021-03-31T00:00:00Z,235.675,-0.2915667762808953,68.715
Mojave,AVRCD,117,2022-01-17T00:00:00Z,2022-04-13T00:00:00Z,19.71,2022-01-15T00:00:00Z,2022-04-15T00:00:00Z,122.155,-0.8386476198272685,102.445
Mojave,AVRCD,118,2022-01-15T00:00:00Z,2022-04-13T00:00:00Z,20.26,2022-01-15T00:00:00Z,2022-04-15T00:00:00Z,122.155,-0.8341451434652695,101.895
Mojave,AVRCD,119,2020-03-17T00:00:00Z,2022-04-13T00:00:00Z,321.54,2020-03-15T00:00:00Z,2022-04-15T00:00:00Z,460.43,-0.3016528028147601,138.89
Sonoran Central,Pleasant,120,2019-12-19T00:00:00Z,2020-03-30T00:00:00Z,187.46,2019-12-15T00:00:00Z,2020-03-30T00:00:00Z,132.56,0.4141520820760411,-54.900000000000006
Sonoran Central,Pleasant,121,2019-12-19T00:00:00Z,2020-10-14T00:00:00Z,221.2,2019-12-15T00:00:00Z,2020-10-15T00:00:00Z,241.185,-0.08286170367145558,19.985000000000014
Sonoran Central,Pleasant,122,2019-12-19T00:00:00Z,2021-04-02T00:00:00Z,296.5,2019-12-15T00:00:00Z,2021-03-31T00:00:00Z,418.33,-0.29122941218655124,121.82999999999998
Sonoran Central,Pleasant,123,2019-12-19T00:00:00Z,2021-10-04T00:00:00Z,471.17,2019-12-15T00:00:00Z,2021-09-30T00:00:00Z,517.9499999999999,-0.09031759822376663,46.779999999999916
Sonoran Central,Pleasant,124,2019-12-19T00:00:00Z,2022-03-29T00:00:00Z,564.22,2019-12-15T00:00:00Z,2022-03-31T00:00:00Z,704.0999999999999,-0.19866496236330053,139.87999999999988
Sonoran Central,Pleasant,125,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,964.26,2019-12-15T00:00:00Z,2023-03-31T00:00:00Z,989.8699999999999,-0.02587208421307839,25.6099999999999
Sonoran Central,Preserve,126,2019-11-25T00:00:00Z,2020-03-26T00:00:00Z,237.68,2019-12-01T00:00:00Z,2020-03-30T00:00:00Z,177.22,0.34115788285746534,-60.46000000000001
Sonoran Central,Preserve,127,2019-11-25T00:00:00Z,2020-10-12T00:00:00Z,265.38,2019-12-01T00:00:00Z,2020-10-15T00:00:00Z,299.53499999999997,-0.11402674144924625,34.15499999999997
Sonoran Central,Preserve,128,2019-11-25T00:00:00Z,2021-03-30T00:00:00Z,337.83,2019-12-01T00:00:00Z,2021-03-31T00:00:00Z,511.65,-0.33972442099091177,173.82
Sonoran Central,Preserve,129,2019-11-25T00:00:00Z,2021-10-06T00:00:00Z,623.51,2019-12-01T00:00:00Z,2021-09-30T00:00:00Z,619.3,0.0067979977393832335,-4.210000000000036
Sonoran Central,Preserve,130,2019-11-25T00:00:00Z,2022-03-31T00:00:00Z,755.44,2019-12-01T00:00:00Z,2022-03-31T00:00:00Z,846.08,-0.10712934947049922,90.63999999999999
Sonoran Central,Roosevelt,131,2019-11-22T00:00:00Z,2020-03-25T00:00:00Z,208.54,2019-12-01T00:00:00Z,2020-03-30T00:00:00Z,202.05,0.032120762187577236,-6.489999999999981
Sonoran Central,Roosevelt,132,2019-11-22T00:00:00Z,2020-10-15T00:00:00Z,242.88,2019-12-01T00:00:00Z,2020-10-15T00:00:00Z,360.28999999999996,-0.32587637736268,117.40999999999997
Sonoran Central,Roosevelt,133,2019-11-22T00:00:00Z,2021-04-01T00:00:00Z,343.08,2019-12-01T00:00:00Z,2021-03-31T00:00:00Z,600.43,-0.4286094965274886,257.34999999999997
Sonoran Central,Roosevelt,134,2019-11-22T00:00:00Z,2021-10-08T00:00:00Z,573.78,2019-12-01T00:00:00Z,2021-09-30T00:00:00Z,747.46,-0.23236026008080707,173.68000000000006
Sonoran Central,Roosevelt,135,2019-11-22T00:00:00Z,2022-03-28T00:00:00Z,687.09,2019-12-01T00:00:00Z,2022-03-31T00:00:00Z,998.81,-0.31209138875261555,311.7199999999999
