Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
SATR12,876,25.085910652920962,0.2508591065292096,Weed,total,NA,"Weed, total"
UNFO1.FlyingM,365,10.452462772050401,0.10452462772050401,Weed,total,NA,"Weed, total"
ERCI6,234,6.701030927835052,0.06701030927835051,Weed,total,NA,"Weed, total"
UNGR.FlyingM,232,6.643757159221077,0.06643757159221077,Weed,total,NA,"Weed, total"
UNGR.BarTBar,230,6.5864833906071025,0.06586483390607102,Weed,total,NA,"Weed, total"
UNFO8.BarTBar,209,5.985108820160367,0.05985108820160367,Weed,total,NA,"Weed, total"
HAGL,203,5.813287514318442,0.058132875143184416,Weed,total,NA,"Weed, total"
UNGR1.MOWE,178,5.097365406643757,0.05097365406643757,Weed,total,NA,"Weed, total"
UNFO13.BarTBar,177,5.0687285223367695,0.0506872852233677,Weed,total,NA,"Weed, total"
BRNI,175,5.011454753722795,0.05011454753722795,Weed,total,NA,"Weed, total"
BRRU2,127,3.6368843069874,0.036368843069874,Weed,total,NA,"Weed, total"
TRTE,116,3.3218785796105386,0.033218785796105384,Weed,total,NA,"Weed, total"
UNFO1.PEFO,103,2.949599083619702,0.029495990836197018,Weed,total,NA,"Weed, total"
UNGR4.AguaFria,64,1.8327605956471937,0.018327605956471937,Weed,total,NA,"Weed, total"
DESO2,59,1.6895761741122566,0.016895761741122565,Weed,total,NA,"Weed, total"
UNFO2.AguaFria,54,1.5463917525773196,0.015463917525773196,Weed,total,NA,"Weed, total"
UNKM.PEFO,24,0.6872852233676976,0.006872852233676976,Weed,total,NA,"Weed, total"
UNGR.TLE,12,0.3436426116838488,0.003436426116838488,Weed,total,NA,"Weed, total"
SATR12,526,23.95264116575592,0.2395264116575592,Weed,wetter,NA,"Weed, wetter"
UNFO1.FlyingM,266,12.112932604735883,0.12112932604735883,Weed,wetter,NA,"Weed, wetter"
UNGR.BarTBar,228,10.382513661202186,0.10382513661202186,Weed,wetter,NA,"Weed, wetter"
UNGR.FlyingM,214,9.744990892531877,0.09744990892531877,Weed,wetter,NA,"Weed, wetter"
UNFO8.BarTBar,209,9.517304189435336,0.09517304189435336,Weed,wetter,NA,"Weed, wetter"
ERCI6,188,8.561020036429873,0.08561020036429873,Weed,wetter,NA,"Weed, wetter"
UNGR1.MOWE,178,8.105646630236794,0.08105646630236794,Weed,wetter,NA,"Weed, wetter"
UNFO13.BarTBar,177,8.060109289617486,0.08060109289617486,Weed,wetter,NA,"Weed, wetter"
BRNI,175,7.969034608378871,0.07969034608378871,Weed,wetter,NA,"Weed, wetter"
HAGL,135,6.147540983606557,0.06147540983606557,Weed,wetter,NA,"Weed, wetter"
UNFO1.PEFO,103,4.6903460837887065,0.046903460837887066,Weed,wetter,NA,"Weed, wetter"
TRTE,75,3.415300546448088,0.03415300546448088,Weed,wetter,NA,"Weed, wetter"
UNGR4.AguaFria,64,2.914389799635701,0.029143897996357013,Weed,wetter,NA,"Weed, wetter"
UNFO2.AguaFria,54,2.459016393442623,0.02459016393442623,Weed,wetter,NA,"Weed, wetter"
BRRU2,46,2.0947176684881605,0.020947176684881604,Weed,wetter,NA,"Weed, wetter"
DESO2,34,1.5482695810564664,0.015482695810564663,Weed,wetter,NA,"Weed, wetter"
SATR12,350,27.00617283950617,0.2700617283950617,Weed,drier,NA,"Weed, drier"
UNFO1.FlyingM,99,7.638888888888889,0.0763888888888889,Weed,drier,NA,"Weed, drier"
BRRU2,81,6.25,0.0625,Weed,drier,NA,"Weed, drier"
HAGL,68,5.246913580246913,0.052469135802469126,Weed,drier,NA,"Weed, drier"
ERCI6,46,3.5493827160493825,0.035493827160493825,Weed,drier,NA,"Weed, drier"
TRTE,41,3.1635802469135803,0.031635802469135804,Weed,drier,NA,"Weed, drier"
DESO2,25,1.9290123456790123,0.019290123456790122,Weed,drier,NA,"Weed, drier"
UNKM.PEFO,24,1.8518518518518516,0.018518518518518517,Weed,drier,NA,"Weed, drier"
UNGR.FlyingM,18,1.3888888888888888,0.013888888888888888,Weed,drier,NA,"Weed, drier"
UNGR.TLE,12,0.9259259259259258,0.009259259259259259,Weed,drier,NA,"Weed, drier"
UNGR.BarTBar,2,0.15432098765432098,0.0015432098765432098,Weed,drier,NA,"Weed, drier"
BRNI,139,14.300411522633743,0.14300411522633744,Weed,very wet,NA,"Weed, very wet"
SATR12,115,11.831275720164609,0.11831275720164608,Weed,very wet,NA,"Weed, very wet"
ERCI6,84,8.641975308641975,0.08641975308641975,Weed,very wet,NA,"Weed, very wet"
UNFO1.PEFO,71,7.304526748971194,0.07304526748971193,Weed,very wet,NA,"Weed, very wet"
UNGR1.MOWE,70,7.20164609053498,0.0720164609053498,Weed,very wet,NA,"Weed, very wet"
HAGL,66,6.790123456790123,0.06790123456790123,Weed,very wet,NA,"Weed, very wet"
UNGR4.AguaFria,64,6.584362139917696,0.06584362139917696,Weed,very wet,NA,"Weed, very wet"
UNFO2.AguaFria,54,5.555555555555555,0.05555555555555555,Weed,very wet,NA,"Weed, very wet"
TRTE,20,2.05761316872428,0.0205761316872428,Weed,very wet,NA,"Weed, very wet"
UNGR.BarTBar,20,2.05761316872428,0.0205761316872428,Weed,very wet,NA,"Weed, very wet"
UNFO8.BarTBar,3,0.30864197530864196,0.0030864197530864196,Weed,very wet,NA,"Weed, very wet"
SATR12,82,15.185185185185185,0.15185185185185185,Weed,very dry,NA,"Weed, very dry"
BRRU2,42,7.777777777777778,0.07777777777777778,Weed,very dry,NA,"Weed, very dry"
ERCI6,28,5.185185185185185,0.05185185185185185,Weed,very dry,NA,"Weed, very dry"
TRTE,24,4.444444444444445,0.044444444444444446,Weed,very dry,NA,"Weed, very dry"
HAGL,18,3.3333333333333335,0.03333333333333333,Weed,very dry,NA,"Weed, very dry"
UNFO1.FlyingM,17,3.148148148148148,0.03148148148148148,Weed,very dry,NA,"Weed, very dry"
UNGR.FlyingM,9,1.6666666666666667,0.016666666666666666,Weed,very dry,NA,"Weed, very dry"
UNGR.TLE,7,1.2962962962962963,0.012962962962962963,Weed,very dry,NA,"Weed, very dry"
UNGR.BarTBar,1,0.1851851851851852,0.001851851851851852,Weed,very dry,NA,"Weed, very dry"
