Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Since_last_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Colorado Plateau,BabbittPJ,32,2018-07-11T00:00:00Z,2020-07-14T00:00:00Z,401.3,2018-07-15T00:00:00Z,2020-07-15T00:00:00Z,492.35,-0.18492942012795777,91.05000000000001
Colorado Plateau,BabbittPJ,33,2020-07-16T00:00:00Z,2020-09-22T00:00:00Z,44.01,2020-07-15T00:00:00Z,2020-09-30T00:00:00Z,135.215,-0.6745183596494473,91.20500000000001
Colorado Plateau,BabbittPJ,34,2020-07-16T00:00:00Z,2021-05-26T00:00:00Z,158.5,2020-07-15T00:00:00Z,2021-05-31T00:00:00Z,289.05,-0.45165196332814395,130.55
Colorado Plateau,BabbittPJ,35,2020-07-16T00:00:00Z,2021-10-29T00:00:00Z,256.94,2020-07-15T00:00:00Z,2021-10-31T00:00:00Z,206.32,0.24534703373400546,-50.620000000000005
Colorado Plateau,BabbittPJ,36,2020-07-16T00:00:00Z,2022-04-25T00:00:00Z,132.48,2020-07-15T00:00:00Z,2022-04-30T00:00:00Z,237.39999999999998,-0.44195450716090984,104.91999999999999
Colorado Plateau,BarTBar,37,2018-07-25T00:00:00Z,2018-08-10T00:00:00Z,12.82,2018-08-01T00:00:00Z,2018-07-31T00:00:00Z,0,Inf,-12.82
Colorado Plateau,BarTBar,38,2018-07-25T00:00:00Z,2018-08-23T00:00:00Z,52.74,2018-08-01T00:00:00Z,2018-08-31T00:00:00Z,50.31,0.048300536672629686,-2.4299999999999997
Colorado Plateau,BarTBar,39,2018-07-25T00:00:00Z,2018-09-06T00:00:00Z,31.87,2018-08-01T00:00:00Z,2018-08-31T00:00:00Z,0,Inf,-31.87
Colorado Plateau,BarTBar,40,2018-07-25T00:00:00Z,2018-09-19T00:00:00Z,0.79,2018-08-01T00:00:00Z,2018-09-15T00:00:00Z,18.095,-0.9563415308096159,17.305
Colorado Plateau,BarTBar,41,2018-07-25T00:00:00Z,2018-10-09T00:00:00Z,54.72,2018-08-01T00:00:00Z,2018-09-30T00:00:00Z,18.095,2.024039789997237,-36.625
Colorado Plateau,BarTBar,42,2018-07-25T00:00:00Z,2018-10-29T00:00:00Z,18.44,2018-08-01T00:00:00Z,2018-10-31T00:00:00Z,24.08,-0.23421926910298993,5.639999999999997
Colorado Plateau,BarTBar,43,2018-07-25T00:00:00Z,2018-11-13T00:00:00Z,5.140000000000001,2018-08-01T00:00:00Z,2018-11-15T00:00:00Z,9.33,-0.44908896034297957,4.1899999999999995
