Region,Site,Actual_CV_cum,Normals_CV_cum,Difference_CV_cum
Chihuahuan,Creosote,1.2034124973387157,0.6519030885681254,0.5515094087705903
Chihuahuan,Mesquite,1.1256767358488589,0.621067757524894,0.5046089783239649
Colorado Plateau,AguaFria,0.8071358516936991,0.9032765843411498,-0.09614073264745071
Colorado Plateau,BabbittPJ,0.7952944953275648,0.9191931506117559,-0.12389865528419108
Colorado Plateau,BarTBar,0.8706970353234835,0.9470267192557597,-0.07632968393227613
Colorado Plateau,FlyingM,0.8103461618391493,0.835430377965456,-0.025084216126306735
Colorado Plateau,MOWE,1.0956098489759056,1.1098860748709207,-0.014276225895015093
Colorado Plateau,PEFO,0.9279133325728236,1.0050848676440294,-0.07717153507120578
Colorado Plateau,Spiderweb,0.8955194663449431,0.8808832906155027,0.014636175729440315
Colorado Plateau,TLE,0.97764411324530065,0.9782424536916448,-5.983404463441033e-4
Mojave,29_Palms,0.7615658571207303,0.8934804566340856,-0.13191459951335527
Mojave,AVRCD,1.0037491457282717,0.8550794952969407,0.14866965043133096
Sonoran Central,Pleasant,0.6450498545117712,0.6256594900029737,0.019390364508797497
Sonoran Central,Preserve,0.5221569052855471,0.5372701582254881,-0.015113252939940924
Sonoran Central,Roosevelt,0.511132699133959,0.5400939209738495,-0.028961221839890472
Sonoran Central,SCC,0.4505630220488922,0.5060503833899371,-0.05548736134104493
Sonoran SE,Patagonia,0.47469877210991746,0.5014239564301152,-0.026725184320197715
Sonoran SE,SRER,0.41467801220685147,0.40635955398753465,0.008318458219316816
Utah,CRC,0.8941590989746735,1.1958029922937305,-0.30164389331905705
Utah,Salt_Desert,0.8368790417112738,1.1631404729493158,-0.32626143123804197
Utah,UtahPJ,0.8724992000933112,1.1751318902290984,-0.3026326901357872
