Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
PEPA8,4,0.8928571428571428,0.008928571428571428,Current mix,Drier,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Drier"
KRLA2,2,0.4464285714285714,0.004464285714285714,Current mix,Drier,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Drier"
ACMI2,1,0.4464285714285714,0.004464285714285714,Current mix,Drier,"BarTBar, FlyingM","Current mix, Drier"
HEMU3,1,0.4464285714285714,0.004464285714285714,Current mix,Drier,"BarTBar, FlyingM","Current mix, Drier"
BOER4,1,0.2232142857142857,0.002232142857142857,Current mix,Drier,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Drier"
MATA2,1,0.2232142857142857,0.002232142857142857,Current mix,Drier,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Drier"
LECI4,28,19.444444444444446,0.19444444444444448,Current mix,Wettest,"BabbittPJ, TLE","Current mix, Wettest"
HEBO,24,16.666666666666664,0.16666666666666663,Current mix,Wettest,"BabbittPJ, TLE","Current mix, Wettest"
ELTR7,17,11.805555555555555,0.11805555555555555,Current mix,Wettest,"BabbittPJ, TLE","Current mix, Wettest"
HECO26,16,11.11111111111111,0.1111111111111111,Current mix,Wettest,"BabbittPJ, TLE","Current mix, Wettest"
ELWA2,12,8.333333333333332,0.08333333333333331,Current mix,Wettest,"BabbittPJ, TLE","Current mix, Wettest"
DACA7,9,5.625,0.05625,Current mix,Wettest,"BarTBar, FlyingM","Current mix, Wettest"
PASM,5,3.125,0.03125,Current mix,Wettest,"BarTBar, FlyingM","Current mix, Wettest"
SPCR,6,2.898550724637681,0.028985507246376812,Current mix,Wettest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wettest"
PEPA8,5,2.4154589371980677,0.024154589371980676,Current mix,Wettest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wettest"
MATA2,4,1.932367149758454,0.01932367149758454,Current mix,Wettest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wettest"
BOGR2,3,1.875,0.01875,Current mix,Wettest,"BarTBar, FlyingM","Current mix, Wettest"
LILE3,3,1.875,0.01875,Current mix,Wettest,"BarTBar, FlyingM","Current mix, Wettest"
KRLA2,3,1.4492753623188406,0.014492753623188406,Current mix,Wettest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wettest"
ELEL5,2,1.25,0.0125,Current mix,Wettest,"BarTBar, FlyingM","Current mix, Wettest"
POSE,2,0.966183574879227,0.00966183574879227,Current mix,Wettest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wettest"
ACMI2,1,0.625,0.00625,Current mix,Wettest,"BarTBar, FlyingM","Current mix, Wettest"
HECO26,12,8.108108108108109,0.08108108108108109,Current mix,Driest,"BabbittPJ, TLE","Current mix, Driest"
LECI4,11,7.4324324324324325,0.07432432432432433,Current mix,Driest,"BabbittPJ, TLE","Current mix, Driest"
HEBO,9,6.081081081081082,0.060810810810810814,Current mix,Driest,"BabbittPJ, TLE","Current mix, Driest"
DACA7,5,5.208333333333334,0.05208333333333334,Current mix,Driest,"BarTBar, FlyingM","Current mix, Driest"
PASM,5,5.208333333333334,0.05208333333333334,Current mix,Driest,"BarTBar, FlyingM","Current mix, Driest"
POSE,7,3.6458333333333335,0.036458333333333336,Current mix,Driest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Driest"
ELEL5,3,3.125,0.03125,Current mix,Driest,"BarTBar, FlyingM","Current mix, Driest"
HEMU3,1,1.0416666666666665,0.010416666666666664,Current mix,Driest,"BarTBar, FlyingM","Current mix, Driest"
BOER4,1,0.5208333333333333,0.005208333333333332,Current mix,Driest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Driest"
KRLA2,1,0.5208333333333333,0.005208333333333332,Current mix,Driest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Driest"
PEPA8,1,0.5208333333333333,0.005208333333333332,Current mix,Driest,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Driest"
