Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
CLESP.Spiderweb,11,0.3150057273768614,0.003150057273768614,Native recruit,total,NA,"Native recruit, total"
BAMU,10,0.286368843069874,0.0028636884306987398,Native recruit,total,NA,"Native recruit, total"
CYAC,9,0.25773195876288657,0.0025773195876288655,Native recruit,total,NA,"Native recruit, total"
CHEN.MOWE,8,0.22909507445589922,0.002290950744558992,Native recruit,total,NA,"Native recruit, total"
ELEL5,8,0.22909507445589922,0.002290950744558992,Native recruit,total,NA,"Native recruit, total"
LOSA,8,0.22909507445589922,0.002290950744558992,Native recruit,total,NA,"Native recruit, total"
UNFO1.BabbittPJ,8,0.22909507445589922,0.002290950744558992,Native recruit,total,NA,"Native recruit, total"
AMASPP.FlyingM,7,0.20045819014891178,0.002004581901489118,Native recruit,total,NA,"Native recruit, total"
LUSPP.AguaFria,7,0.20045819014891178,0.002004581901489118,Native recruit,total,NA,"Native recruit, total"
PASM,7,0.20045819014891178,0.002004581901489118,Native recruit,total,NA,"Native recruit, total"
SUNGR1.PEFO,7,0.20045819014891178,0.002004581901489118,Native recruit,total,NA,"Native recruit, total"
ALIN,6,0.1718213058419244,0.001718213058419244,Native recruit,total,NA,"Native recruit, total"
ELSPP.AguaFria,6,0.1718213058419244,0.001718213058419244,Native recruit,total,NA,"Native recruit, total"
ERISP.PEFO,6,0.1718213058419244,0.001718213058419244,Native recruit,total,NA,"Native recruit, total"
SPSP.PEFO,5,0.143184421534937,0.0014318442153493699,Native recruit,total,NA,"Native recruit, total"
AMBSPP.BabbittPJ,4,0.11454753722794961,0.001145475372279496,Native recruit,total,NA,"Native recruit, total"
ELSPP.FlyingM,4,0.11454753722794961,0.001145475372279496,Native recruit,total,NA,"Native recruit, total"
ERISPP.BarTBar,4,0.11454753722794961,0.001145475372279496,Native recruit,total,NA,"Native recruit, total"
PLJA,4,0.11454753722794961,0.001145475372279496,Native recruit,total,NA,"Native recruit, total"
POSE,4,0.11454753722794961,0.001145475372279496,Native recruit,total,NA,"Native recruit, total"
SECO10,4,0.11454753722794961,0.001145475372279496,Native recruit,total,NA,"Native recruit, total"
SPSP.BabbittPJ,4,0.11454753722794961,0.001145475372279496,Native recruit,total,NA,"Native recruit, total"
UNGR1.AguaFria,4,0.11454753722794961,0.001145475372279496,Native recruit,total,NA,"Native recruit, total"
ATSP.BarTBar,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
BOER4,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
