Date,ppt_mm,tmin,tmean,tmax,Site,Region
January,13.44,-2.5,5.6,13.7,Creosote,Chihuahuan
February,10.41,-0.6,8,16.5,Creosote,Chihuahuan
March,7.37,2.5,11.6,20.6,Creosote,Chihuahuan
April,6.01,6.3,15.5,24.7,Creosote,Chihuahuan
May,12.26,11.2,20.4,29.6,Creosote,Chihuahuan
June,15.67,16.9,25.8,34.7,Creosote,Chihuahuan
July,55.65,19.5,27,34.5,Creosote,Chihuahuan
August,52.26,18.7,26,33.4,Creosote,Chihuahuan
September,37.84,15,22.7,30.4,Creosote,Chihuahuan
October,24.84,8.2,16.8,25.4,Creosote,Chihuahuan
November,13.4,1.6,10.2,18.7,Creosote,Chihuahuan
December,17.14,-2.4,5.5,13.3,Creosote,Chihuahuan
Annual,266.3,7.9,16.2,24.6,Creosote,Chihuahuan
January,13.01,-3.5,5.2,13.9,Mesquite,Chihuahuan
February,10.3,-1.6,7.6,16.8,Mesquite,Chihuahuan
March,7.31,1.6,11.2,20.8,Mesquite,Chihuahuan
April,5.69,5.4,15.2,25,Mesquite,Chihuahuan
May,11.99,10.3,20.1,29.9,Mesquite,Chihuahuan
June,14.78,16.1,25.5,35,Mesquite,Chihuahuan
July,55.79,18.9,26.8,34.8,Mesquite,Chihuahuan
August,52.08,18,25.9,33.7,Mesquite,Chihuahuan
September,34.99,14.1,22.4,30.6,Mesquite,Chihuahuan
October,24.55,7.2,16.5,25.7,Mesquite,Chihuahuan
November,12.81,0.6,9.8,18.9,Mesquite,Chihuahuan
December,16.79,-3.3,5,13.4,Mesquite,Chihuahuan
Annual,260.08,7,15.9,24.9,Mesquite,Chihuahuan
January,55.14,3.7,9.8,15.9,AguaFria,Colorado Plateau
February,52.08,4.5,10.7,17,AguaFria,Colorado Plateau
March,38.71,6.7,13.5,20.4,AguaFria,Colorado Plateau
April,12.19,9.3,16.7,24.1,AguaFria,Colorado Plateau
May,7.02,13.7,21.5,29.3,AguaFria,Colorado Plateau
June,3.14,18.8,27,35.1,AguaFria,Colorado Plateau
July,40.66,22.3,29.6,36.8,AguaFria,Colorado Plateau
August,46.01,21.9,28.8,35.8,AguaFria,Colorado Plateau
September,37.58,18.9,26,33,AguaFria,Colorado Plateau
October,26.16,13.2,20.2,27.1,AguaFria,Colorado Plateau
November,27.77,7.6,14.2,20.9,AguaFria,Colorado Plateau
December,47.91,3.6,9.5,15.5,AguaFria,Colorado Plateau
Annual,394.36,12,19,25.9,AguaFria,Colorado Plateau
January,48.62,-6.6,0.7,8,BabbittPJ,Colorado Plateau
February,50.62,-5.4,2.1,9.6,BabbittPJ,Colorado Plateau
March,44.69,-2.8,5.2,13.1,BabbittPJ,Colorado Plateau
April,22.66,-0.5,8.2,16.8,BabbittPJ,Colorado Plateau
May,16.57,3.6,12.8,22,BabbittPJ,Colorado Plateau
June,7.95,8.4,18.4,28.4,BabbittPJ,Colorado Plateau
July,56.15,12.5,21.2,29.9,BabbittPJ,Colorado Plateau
