CodeOriginal,Lifeform
0,NA
0,NA
0,0
AMCO3,Forb
AMCO3,Grass
AMCO3,forb
AMMEI2,Forb
AMMEI2,forb
ARAD,Grass
ARAD,Forb
ARAD,grass
ARFR4,Shrub/Subshrub
ARFR4,Shrub
ARPUP6,Grass
ARPUP6,grass
ASNU4,Forb
ASNU4,forb
ATCA2,Shrub/Subshrub
ATCA2,Shrub
ATCO,Shrub/Subshrub
ATCO,Shrub
BAMU,Forb
BAMU,forb
BOCU,Grass
BOCU,Forb
BORO2,Grass
BORO2,grass
BOSPP,Grass
BOSPP,Forb
BRRU2,Grass
BRRU2,grass
CACI2,Forb
CACI2,forb
CHAL11,Forb
CHAL11,forb
CHBR,Forb
CHBR,forb
CHEN,Forb
CHEN,NA
CRCO34,Forb
CRCO34,forb
CRYPT,Forb
CRYPT,forb
DAPU3,Forb
DAPU3,forb
DAPU7,Grass
DAPU7,grass
DICA14,Forb
DICA14,forb
DICA8,Forb
DICA8,Grass
DICA8,grass
ELEL5,Grass
ELEL5,C3 grass
ERCI6,Forb
ERCI6,forb
ERCI6,NA
ERDI2,Forb
ERDI2,forb
ERFA2,Forb
ERFA2,Shrub
ERPA11,Forb
ERPA11,forb
EUPO3,Forb
EUPO3,forb
GUSA2,Forb
GUSA2,Shrub
HAGL,Forb
HAGL,NA
HAGL,NA
HAPAA,Forb
HAPAA,forb
HEHIC,Forb
HEHIC,forb
KRLA2,Shrub/Subshrub
KRLA2,Shrub
LAGR10,Forb
LAGR10,forb
LELA,Forb
LELA,forb
LOAR12,Forb
LOAR12,forb
LOHU2,Forb
LOHU2,forb
LOSQ,Forb
LOSQ,forb
LOSTT,Forb
LOSTT,forb
LUCO,Forb
LUCO,forb
LUSP2,Forb
LUSP2,forb
MAGR10,NA
MAGR10,Forb
MOCE,Forb
MOCE,Grass
MONU,Forb
MONU,forb
PECTO,Forb
PECTO,forb
PEHE,Forb
PEHE,forb
PEPL,Forb
PEPL,forb
PERE,Forb
PERE,forb
PLAR,Forb
PLAR,forb
PLOV,Forb
PLOV,forb
PLPA2,Forb
PLPA2,forb
POBI,Grass
POBI,grass
S-UNGR2,Grass
S-UNGR2,NA
SACO6,Forb
SACO6,forb
SATR12,Forb
SATR12,NA
SCBA,Grass
SCBA,grass
SECO10,Forb
SECO10,forb
SIAN2,Forb
SIAN2,forb
SPAMA,Forb
SPAMA,forb
SPCR,Grass
SPCR,grass
SPSP,Forb
SPSP,NA
STGN,Forb
STGN,forb
Trifolium,Forb
Trifolium,f
UNGR,Grass
UNGR,NA
UNGR1,Grass
UNGR1,Forb
Unk sp.,NA
Unk sp.,Forb
VUOC,Grass
VUOC,Forb
VUOC,grass
NA,NA
NA,Forb
