Region,Site,CodeOriginal,Name,Native,Duration,Lifeform
Sonoran Central,Roosevelt,ANOC2,Androsace occidentalis,Native,Annual,Forb
Chihuahuan,Mesquite,ATCA,Atriplex canescens,Native,Perennial,Shrub
Colorado Plateau,FlyingM,AmaranthusSpp,Amaranthus spp.,Native/Unknown,Unknown,Forb
Chihuahuan,Mesquite,BAHI,Balsamorhiza hookeri,Native,Perennial,Forb
Sonoran SE,SRER,CRYSPP 1,Cryptantha spp. 1,Native,Unknown,Forb
Sonoran SE,SRER,CRYSPP 2,Cryptantha spp. 2,Native,Unknown,Forb
Sonoran SE,SRER,CRYSPP2,Cryptantha spp. 3,Native,Unknown,Forb
Colorado Plateau,BarTBar,DACA,Dalea candida,Native,Perennial,Forb
Sonoran SE,SRER,DeadStem,Dead stem,Unknown,Unknown,Forb
Utah,UtahPJ,ERIGSPP,Erigonum spp.,Native,Unknown,Forb
Utah,UtahPJ,Eriogonum sp.,Erigonum spp.,Native,Unknown,Forb
Sonoran SE,SRER,FESSPP,Fescue spp.,Native,Unknown,Grass
Sonoran SE,SRER,GILSPP 1,Gilia spp. 1,Native,Unknown,Forb
Sonoran SE,SRER,GILSPP 2,Gilia spp. 2,Native,Unknown,Forb
Utah,CRC,LILE,Linum lewisii,Native,Annual,Forb
Colorado Plateau,AguaFria,LUSP,Lupinus spp.,Native/Unknown,Unknown,Forb
Chihuahuan,Mesquite,PAHI7,Oplismenus hirtellus (Panicum hirtellum),Introduced,Perennial,Grass
Colorado Plateau,BabbittPJ,PHNE3,Phacelia neomexicana,Native,Annual,Forb
Utah,UtahPJ,S-HEBO,Hedysarum boreale,Native,Perennial,Forb
Utah,Salt_Desert,S-PASM,Pascopyrum smithii,Native,Perennial,Grass
Utah,CRC,S-PASM,Pascopyrum smithii,Native,Perennial,Grass
Utah,UtahPJ,S-PASM,Pascopyrum smithii,Native,Perennial,Grass
Utah,CRC,S-UNFO2,Seeded unknown forb 2,Native,Unknown,Forb
Utah,Salt_Desert,S-UNFO2,Seeded unknown forb 2,Native,Unknown,Forb
Utah,CRC,S-UNGR1,Seeded unknown grass 1,Native,Unknown,Grass
Utah,Salt_Desert,S-UNGR1,Seeded unknown grass 1,Native,Unknown,Grass
Utah,CRC,S-UNGR2,Seeded unknown grass 2,Native,Unknown,Grass
Utah,Salt_Desert,S-UNGR2,Seeded unknown grass 2,Native,Unknown,Grass
Utah,UtahPJ,S-UNGR2,Seeded unknown grass 2,Native,Unknown,Grass
Utah,CRC,S-UNGR3,Seeded unknown grass 3,Native,Unknown,Grass
Utah,Salt_Desert,S-UNGR3,Seeded unknown grass 3,Native,Unknown,Grass
Utah,UtahPJ,S-UNGR3,Seeded unknown grass 3,Native,Unknown,Grass
Utah,CRC,S-UNGR4,Seeded unknown grass 4,Native,Unknown,Grass
Utah,UtahPJ,S-UNGR4,Seeded unknown grass 4,Native,Unknown,Grass
Utah,UtahPJ,S-UNGR5,Seeded unknown grass 5,Native,Unknown,Grass
Chihuahuan,Mesquite,SEBA2,Senna bacillaris,Native,Perennial,Shrub
Sonoran Central,Preserve,STMI2,Stylocline micropoides,Native,Annual,Forb
Colorado Plateau,TLE,SUNGR,Seeded unknown grass,Native,Unknown,Shrub
Colorado Plateau,BabbittPJ,SUNGR,Seeded unknown grass,Native,Unknown,Shrub
Colorado Plateau,PEFO,UCHEN1,Unknown chenopod 1,Unknown,Unknown,Forb
Colorado Plateau,PEFO,UCHEN2,Unknown chenopod 2,Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO,Unknown forb,Unknown,Unknown,Forb
Colorado Plateau,Spiderweb,UNFO,Unknown forb,Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-5,Unknown forb 5,Unknown,Unknown,Forb
Utah,UtahPJ,UNFO10,Unknown forb 10,Unknown,Unknown,Forb
Utah,UtahPJ,UNFO11,Unknown forb 11,Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO12,Unknown forb 12,Unknown,Unknown,Forb
