CodeOriginal,Name,Native,Duration,Lifeform
ABPA3,Abutilon parvulum,Native,Perennial,Forb
ACHY,Achnatherum hymenoides,Native,Perennial,Grass
ACMI2,Achillea millefolium,Native/Unknown,Perennial,Forb
ACMIS,Acmispon (Lotus),Native,Unknown,Forb
ACNA2,Acourtia nana,Native,Perennial,Forb
ALIN,Allionia incarnata,Native,Unknown,Forb
AMCH3,Ammocodon chenopodioides,Native,Perennial,Forb
AMCO3,Ambrosia confertiflora,Native,Perennial,Forb
AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub
AMDU2,Ambrosia dumosa,Native,Perennial,Shrub
AMMEI2,Amsinckia menziesii,Native,Annual,Forb
AMPA,Amaranthus palmeri,Native,Annual,Forb
AMSIN,Amsinckia,Native,Annual,Forb
AMTE3,Amsinckia tessellata,Native,Annual,Forb
AMTO3,Ambrosia tomentosa,Native,Perennial,Forb
ANCR2,Anoda cristata,Native,Annual,Forb
ARAD,Aristida adscensionis,Native,Annual,Grass
ARFR4,Artemisia frigida,Native,Perennial,Shrub
ARNE2,Argythamnia neomexicana,Native,Unknown,Forb
ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPUP6,Aristida purpurea,Native,Perennial,Grass
ARTE3,Aristida ternipes,Native,Perennial,Grass
ARWA,Aristolochia watsonii,Native,Perennial,Forb
ASNU4,Astragalus nuttallianus,Native,Unknown,Forb
ASNU5,Astragalus nuttallii,Introduced,Perennial,Forb
ASTU,Asclepias tuberosa,Native,Perennial,Forb
ATCA2,Atriplex canescens,Native,Perennial,Shrub
ATCO,Atriplex confertifolia,Native,Perennial,Shrub
AVFA,Avena fatua,Introduced,Annual,Grass
BAAB,Bahia absinthifolia,Native,Perennial,Forb
BAMU,Baileya multiradiata,Native,Unknown,Forb
BOAR,Bouteloua aristidoides,Native,Annual,Grass
BOBA2,Bouteloua barbata,Native,Annual,Grass
BOBAB3,Bouteloua barbata v. barbata,Native,Annual,Grass
