Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Creosote,Chihuahuan,Warm,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Creosote,Chihuahuan,Medium,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Mesquite,Chihuahuan,Warm,ATCA,ATCA2,Atriplex canescens,Native,Perennial,Shrub,Yes
Mesquite,Chihuahuan,Warm,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
AguaFria,Colorado Plateau,Warm,ACHY,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes
AguaFria,Colorado Plateau,Warm,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes
AguaFria,Colorado Plateau,Warm,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
AguaFria,Colorado Plateau,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
AguaFria,Colorado Plateau,None,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
BabbittPJ,Colorado Plateau,Cool-Med,ACMI2,ACMI2,Achillea millefolium,Native,Perennial,Forb,Yes
BabbittPJ,Colorado Plateau,Cool-Med,BOGR2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes
BabbittPJ,Colorado Plateau,Cool,BOGR2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes
BabbittPJ,Colorado Plateau,Cool-Med,DACA7,DACA7,Dalea candida,Native,Perennial,Forb,Yes
BabbittPJ,Colorado Plateau,Cool-Med,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,Yes
BabbittPJ,Colorado Plateau,Cool,ELTR7,ELTR7,Elymus trachycaulus,Native,Perennial,Grass,Yes
BabbittPJ,Colorado Plateau,Cool,ELWA2,ELWA2,Elymus wawawaiensis,Native,Perennial,Grass,Yes
BabbittPJ,Colorado Plateau,Cool,HEBO,HEBO,Hedysarum boreale,Native,Perennial,Forb,Yes
BabbittPJ,Colorado Plateau,Cool,HECO26,HECO26,Hesperostipa comata,Native,Perennial,Grass,Yes
BabbittPJ,Colorado Plateau,Cool,LECI4,LECI4,Leymus cinereus,Native,Perennial,Grass,Yes
BabbittPJ,Colorado Plateau,Cool-Med,LECI4,LECI4,Leymus cinereus,Native,Perennial,Grass,Yes
BabbittPJ,Colorado Plateau,Cool-Med,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,Yes
BabbittPJ,Colorado Plateau,Cool-Med,PASM,PASM,Pascopyrum smithii,Native,Perennial,Grass,Yes
BarTBar,Colorado Plateau,Cool-Med,ACMI2,ACMI2,Achillea millefolium,Native,Perennial,Forb,Yes
BarTBar,Colorado Plateau,Med-Warm,ACMI2,ACMI2,Achillea millefolium,Native,Perennial,Forb,Yes
BarTBar,Colorado Plateau,Med-Warm,BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,Yes
BarTBar,Colorado Plateau,Cool-Med,BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,Yes
BarTBar,Colorado Plateau,Cool-Med,BOGR2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes
BarTBar,Colorado Plateau,Cool-Med,DACA7,DACA7,Dalea candida,Native,Perennial,Forb,Yes
BarTBar,Colorado Plateau,Cool-Med,DACA,DACA7,Dalea candida,Native,Perennial,Forb,Yes
BarTBar,Colorado Plateau,Cool-Med,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,Yes
BarTBar,Colorado Plateau,Med-Warm,KRLA2,KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub,Yes
BarTBar,Colorado Plateau,Cool-Med,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,Yes
BarTBar,Colorado Plateau,Med-Warm,MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
BarTBar,Colorado Plateau,Cool-Med,PASM,PASM,Pascopyrum smithii,Native,Perennial,Grass,Yes
BarTBar,Colorado Plateau,Med-Warm,PEPA8,PEPA8,Penstemon palmeri,Native,Perennial,Forb,Yes
BarTBar,Colorado Plateau,Med-Warm,PLJA,PLJA,Pleuraphis jamesii,Native,Perennial,Grass,Yes
BarTBar,Colorado Plateau,Med-Warm,POSE,POSE,Poa secunda,Native,Perennial,Grass,Yes
FlyingM,Colorado Plateau,Cool-Med,ACMI2,ACMI2,Achillea millefolium,Native,Perennial,Forb,Yes
FlyingM,Colorado Plateau,Med-Warm,BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,Yes
FlyingM,Colorado Plateau,Cool-Med,BOGR2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes
FlyingM,Colorado Plateau,Cool-Med,DACA7,DACA7,Dalea candida,Native,Perennial,Forb,Yes
FlyingM,Colorado Plateau,Cool-Med,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,Yes
FlyingM,Colorado Plateau,Cool-Med,HEMU3,HEMU3,Heliomeris multiflora,Native,Perennial,Forb,Yes
FlyingM,Colorado Plateau,Med-Warm,KRLA2,KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub,Yes
FlyingM,Colorado Plateau,Cool-Med,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,Yes
FlyingM,Colorado Plateau,Cool-Med,PASM,PASM,Pascopyrum smithii,Native,Perennial,Grass,Yes
FlyingM,Colorado Plateau,Med-Warm,PLJA,PLJA,Pleuraphis jamesii,Native,Perennial,Grass,Yes
FlyingM,Colorado Plateau,Med-Warm,POSE,POSE,Poa secunda,Native,Perennial,Grass,Yes
FlyingM,Colorado Plateau,Med-Warm,SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
MOWE,Colorado Plateau,Warm,ACHY,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes
MOWE,Colorado Plateau,Warm,ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
MOWE,Colorado Plateau,Warm,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes
MOWE,Colorado Plateau,Warm,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
MOWE,Colorado Plateau,Med-Warm,KRLA2,KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub,Yes
MOWE,Colorado Plateau,Med-Warm,MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
MOWE,Colorado Plateau,Med-Warm,PEPA8,PEPA8,Penstemon palmeri,Native,Perennial,Forb,Yes
MOWE,Colorado Plateau,Med-Warm,PLJA,PLJA,Pleuraphis jamesii,Native,Perennial,Grass,Yes
MOWE,Colorado Plateau,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
PEFO,Colorado Plateau,Warm,ACHY,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes
PEFO,Colorado Plateau,Warm,ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
PEFO,Colorado Plateau,Warm,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
PEFO,Colorado Plateau,Warm,BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
PEFO,Colorado Plateau,Med-Warm,BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,Yes
PEFO,Colorado Plateau,Med-Warm,KRLA2,KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub,Yes
PEFO,Colorado Plateau,Med-Warm,MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
PEFO,Colorado Plateau,Med-Warm,POSE,POSE,Poa secunda,Native,Perennial,Grass,Yes
PEFO,Colorado Plateau,Med-Warm,SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
Spiderweb,Colorado Plateau,Warm,ACHY,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes
Spiderweb,Colorado Plateau,Warm,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes
Spiderweb,Colorado Plateau,Warm,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Spiderweb,Colorado Plateau,Warm,BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Spiderweb,Colorado Plateau,Med-Warm,BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,Yes
Spiderweb,Colorado Plateau,Med-Warm,MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
Spiderweb,Colorado Plateau,Med-Warm,PEPA8,PEPA8,Penstemon palmeri,Native,Perennial,Forb,Yes
Spiderweb,Colorado Plateau,Warm,PEPA8,PEPA8,Penstemon palmeri,Native,Perennial,Forb,Yes
