CodeOriginal,Lifeform
0,0
AMCO3,Forb
AMMEI2,Forb
ARAD,Grass
ARFR4,Shrub
ARPUP6,Grass
ASNU4,Forb
ATCA2,Shrub
ATCO,Shrub
BAMU,Forb
BOCU,Grass
BORO2,Grass
BOSPP,Grass
BRRU2,Grass
CACI2,Forb
CHAL11,Forb
CHBR,Forb
CHEN,Forb
CRCO34,Forb
CRYPT,Forb
DAPU3,Forb
DAPU7,Grass
DICA14,Forb
DICA8,Grass
ELEL5,Grass
ERCI6,Forb
ERDI2,Forb
ERFA2,Shrub
ERPA11,Forb
EUPO3,Forb
GUSA2,Shrub
HAGL,Forb
HAPAA,Forb
HEHIC,Forb
KRLA2,Shrub
LAGR10,Forb
LELA,Forb
LOAR12,Forb
LOHU2,Forb
LOSQ,Forb
LOSTT,Forb
LUCO,Forb
LUSP2,Forb
MAGR10,Forb
MOCE,Forb
MONU,Forb
PECTO,Forb
PEHE,Forb
PEPL,Forb
PERE,Forb
PLAR,Forb
PLOV,Forb
PLPA2,Forb
POBI,Grass
S-UNGR2,Grass
SACO6,Forb
SATR12,Forb
SCBA,Grass
SECO10,Forb
SIAN2,Forb
SPAMA,Forb
SPCR,Grass
SPSP,Forb
STGN,Forb
Trifolium,Forb
UNGR,Grass
UNGR1,Grass
Unk sp.,NA
VUOC,Grass
NA,NA
