Region,Site,Date_Seeded,Date_Monitored,SiteDateID,Plot,Treatment,PlotMix,SiteDatePlotID,CodeOriginal,Code,Name,Native,Duration,Lifeform,Count,Height,raw.row,SpeciesSeeded,PlantSource,PlantSource2,Weedy,PlotMix_Climate
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,26,ConMod,Cool-Med,4056,CHTE2,CHTE2,Chorispora tenella,Introduced,Annual,Forb,15,NA,10273,No,Introduced/Invasive,Introduced/Invasive,Weedy,Current
Utah,Salt_Desert,2018-10-31T00:00:00Z,2019-04-19T00:00:00Z,174,5,Pits,Cool-Med,4071,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,1,NA,10331,Yes,Seeded,Seeded,Desirable,Current
Utah,Salt_Desert,2018-10-31T00:00:00Z,2019-04-19T00:00:00Z,174,25,Mulch,Cool-Med,4091,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,4,NA,10413,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-25T00:00:00Z,166,13,Seed,Med-Warm,4115,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,1,NA,10509,Yes,Seeded,Seeded,Desirable,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-04-25T00:00:00Z,166,13,Seed,Med-Warm,4115,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,2,NA,10510,Yes,Seeded,Seeded,Desirable,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-04-25T00:00:00Z,166,13,Seed,Med-Warm,4115,S-UNGR4,S-UNGR4.CRC,"Seeded unknown grass 4, CRC",Native,Unknown,Grass,8,NA,10511,Yes,Seeded,Seeded,Desirable,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-04-25T00:00:00Z,166,14,Pits,Cool-Med,4116,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,5,NA,10512,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-25T00:00:00Z,166,14,Pits,Cool-Med,4116,S-UNGR2,S-UNGR2.CRC,"Seeded unknown grass 2, CRC",Native,Unknown,Grass,1,NA,10513,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-25T00:00:00Z,166,14,Pits,Cool-Med,4116,S-UNGR2,S-UNGR2.CRC,"Seeded unknown grass 2, CRC",Native,Unknown,Grass,1,NA,10514,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-25T00:00:00Z,166,14,Pits,Cool-Med,4116,S-UNGR2,S-UNGR2.CRC,"Seeded unknown grass 2, CRC",Native,Unknown,Grass,2,NA,10515,Yes,Seeded,Seeded,Desirable,Current
