Code,Name
ACMI2,Achillea millefolium
ELSPP.BabbittPJ,"Elymus spp., BabbittPJ"
SOSP.FlyingM,"Solanum spp., FlyingM"
Unksporob.Mesquite,"Sporobolus spp., Mesquite"
STISPP.29_Palms,"Stipa spp., 29_Palms"
UNFO1.BabbittPJ,"Unknown forb 1, BabbittPJ"
UNFO2.Spiderweb,"Unknown forb 2, Spiderweb"
Unkforb.Mesquite,"Unknown forb, Mesquite"
UNGR1.AguaFria,"Unknown grass 1, AguaFria"
UNGR1.BabbittPJ,"Unknown grass 1, BabbittPJ"
UNGR1.PEFO,"Unknown grass 1, PEFO"
Unkgrass.Mesquite,"Unknown grass, Mesquite"
UnkATCA.Mesquite,"Unknown shrub; Possible Atriplex canescens, Mesquite"
