CodeOriginal,Name,Native,Region,Site,Duration,Lifeform,Code
ACASPP,"Acalypha spp., SRER",Native/Unknown,Sonoran SE,SRER,Unknown,Forb,ACASPP.SRER
AmaranthusSpp,"Amaranthus spp., FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,AmaranthusSpp.FlyingM
AMASPP,"Amaranthus spp., BarTBar",Native/Unknown,Colorado Plateau,BarTBar,Unknown,Forb,AMASPP.BarTBar
AMBSPP,"Ambrosia spp., BabbittPJ",Native/Unknown,Colorado Plateau,BabbittPJ,Unknown,Forb,AMBSPP.BabbittPJ
ANOSPP,"Anoda spp., SRER",Native,Sonoran SE,SRER,Unknown,Forb,ANOSPP.SRER
ARISPP,"Aristida spp., SRER",Native,Sonoran SE,SRER,Unknown,Grass,ARISPP.SRER
ARISPP,"Aristida spp., Patagonia",Native,Sonoran SE,Patagonia,Unknown,Grass,ARISPP.Patagonia
ARSPP,"Artemisia spp., BarTBar",Native/Unknown,Colorado Plateau,BarTBar,Perennial,Shrub,ARSPP.BarTBar
ASTSPP,"Astragalus spp., SRER",Native/Unknown,Sonoran SE,SRER,Unknown,Forb,ASTSPP.SRER
ATCA,"Unknown ATCA (but not Atriplex, a grass?), Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Grass,ATCA.Mesquite
ATSP,"Atriplex spp., PEFO",Native/Unknown,Colorado Plateau,PEFO,Perennial,Shrub,ATSP.PEFO
BOSPP,"local Bouteloua species (unknown), AguaFria",Native,Colorado Plateau,AguaFria,Unknown,Grass,BOSPP.AguaFria
BOSPP,"local Bouteloua species (unknown), BarTBar",Native,Colorado Plateau,BarTBar,Unknown,Grass,BOSPP.BarTBar
BOSPP,"local Bouteloua species (unknown), FlyingM",Native,Colorado Plateau,FlyingM,Unknown,Grass,BOSPP.FlyingM
BOSPP,"local Bouteloua species (unknown), PEFO",Native,Colorado Plateau,PEFO,Unknown,Grass,BOSPP.PEFO
BOSPP,"local Bouteloua species (unknown), Spiderweb",Native,Colorado Plateau,Spiderweb,Unknown,Grass,BOSPP.Spiderweb
BOUSPP,"Bouteloua spp., SRER",Native,Sonoran SE,SRER,Unknown,Grass,BOUSPP.SRER
BRASPP,"Brassica spp. (likely DEPI), SRER",Native/Unknown,Sonoran SE,SRER,Unknown,Forb,BRASPP.SRER
CALSPP,"Calandrinia spp., Patagonia",Native,Sonoran SE,Patagonia,Unknown,Forb,CALSPP.Patagonia
CHAMA,"Chamaesyce spp., Creosote",Native,Chihuahuan,Creosote,Unknown,Forb,CHAMA.Creosote
CHAMA,"Chamaesyce spp., Mesquite",Native,Chihuahuan,Mesquite,Unknown,Forb,CHAMA.Mesquite
CHASPP,"Chaenactis spp., 29_Palms",Native,Mojave,29_Palms,Unknown,Forb,CHASPP.29_Palms
CHEN,"Unknown chenopod, BabbittPJ",Native/Unknown,Colorado Plateau,BabbittPJ,Unknown,Forb,CHEN.BabbittPJ
CHEN,"Unknown chenopod, TLE",Native/Unknown,Colorado Plateau,TLE,Unknown,Forb,CHEN.TLE
CHEN,"Unknown chenopod, MOWE",Native/Unknown,Colorado Plateau,MOWE,Unknown,Forb,CHEN.MOWE
CHESPP,"Chenopodium spp., Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,CHESPP.Patagonia
CRYPT,"Cryptantha spp., Roosevelt",Native,Sonoran Central,Roosevelt,Unknown,Forb,CRYPT.Roosevelt
CRYSPP,"Cryptantha spp., 29_Palms",Native,Mojave,29_Palms,Unknown,Forb,CRYSPP.29_Palms
CRYSPP,"Cryptantha spp., AVRCD",Native,Mojave,AVRCD,Unknown,Forb,CRYSPP.AVRCD
CRYSPP,"Cryptantha spp., SRER",Native,Sonoran SE,SRER,Unknown,Forb,CRYSPP.SRER
DRABA,"Draba spp., UtahPJ",Native/Unknown,Utah,UtahPJ,Unknown,Forb,DRABA.UtahPJ
ELSPP,"Elymus spp., AguaFria",Native/Unknown,Colorado Plateau,AguaFria,Unknown,Grass,ELSPP.AguaFria
ELSPP,"Elymus spp., BabbittPJ",Native/Unknown,Colorado Plateau,BabbittPJ,Unknown,Grass,ELSPP.BabbittPJ
ELSPP,"Elymus spp., FlyingM",Native/Unknown,Colorado Plateau,FlyingM,Unknown,Grass,ELSPP.FlyingM
ERASPP,"Eragrostis spp., ERCU or ERLE, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Grass,ERASPP.Patagonia
ERIGSPP,"Unknown ERIG (?), UtahPJ",Unknown,Utah,UtahPJ,Unknown,Unknown,ERIGSPP.UtahPJ
Eriogonum,"Eriogonum spp., Creosote",Native,Chihuahuan,Creosote,Unknown,Forb,Eriogonum.Creosote
