Code,Name,Native,Lifeform
0,NA,NA,NA
AmaranthusSpp,NA,NA,NA
ATCA,NA,NA,NA
BAHI,NA,NA,NA
DeadStem,NA,NA,NA
ERDI2,NA,NA,NA
ERIGSPP,NA,NA,NA
Eriogonum sp.,NA,NA,NA
ERISPP,NA,NA,NA
FESSPP,NA,NA,NA
LILE,NA,NA,NA
LUSP,NA,NA,NA
NA,NA,NA,NA
PAHI7,NA,NA,NA
PHNE3,NA,NA,NA
S-HEBO,NA,NA,NA
S-PASM,NA,NA,NA
S-UNFO2,NA,NA,NA
S-UNGR1,NA,NA,NA
S-UNGR2,NA,NA,NA
S-UNGR3,NA,NA,NA
S-UNGR4,NA,NA,NA
S-UNGR5,NA,NA,NA
SEBA2,NA,NA,NA
SUNGR,NA,NA,NA
Trifolium,NA,NA,NA
UCHEN1,NA,NA,NA
UCHEN2,NA,NA,NA
UNFO,NA,NA,NA
UNFO10,NA,NA,NA
UNFO11,NA,NA,NA
UNFO12,NA,NA,NA
UNFO13,NA,NA,NA
UNFO14,NA,NA,NA
UNFO16,NA,NA,NA
UNFO2A,NA,NA,NA
UNFO7,NA,NA,NA
UNFO8,NA,NA,NA
UNFO9,NA,NA,NA
UNGR,NA,NA,NA
UNGR2,NA,NA,NA
UNGR3,NA,NA,NA
UNGR4,NA,NA,NA
UNGR5,NA,NA,NA
UNK Fuzzy astr,NA,NA,NA
Unkaster,NA,NA,NA
UnkForb,NA,NA,NA
UnkForb1,NA,NA,NA
