ERAB2,Eriogonum abertianum,Native,Forb
ERASPP,"Eragrostis spp., ERCU or ERLE",Unknown,Grass
ERCI,Eragrostis cilianensis,Introduced,Grass
ERCI,Eragrostis ciliaris,Introduced,Grass
ERCI6,Erodium cicutarium,Introduced,Forb
ERCU2,Eragrostis curvula,Introduced,Grass
ERER2,Eriastrum eremicum,Native,Forb
ERFA2,Eriogonum fasciculatum,Native,Forb
ERIAS,Eriastrum,Native,Forb
ERIN4,Eriogonum inflatum,Native,Forb
Eriogonum,Eriogonum spp.,Native,Forb
ERISP,Eriogonum spp.,Native,Forb
ERLA12,Ericameria laricifolia,Native,Shrub
ERLE,Eragrostis lehmanniana,Introduced,Grass
ERPA11,Eriogonum palmerianum,Native,Forb
ERPO4,Eriogonum polycladon,Native,Forb
ERRA3,Eriogonum racemosum,Native,Forb
ERSU,Eragrostis superba,Introduced,Grass
ERTR8,Eriogonum trichopes,Native,Forb
ERVE5,Eruca vesicaria,Introduced,Forb
ESCA2,Eschscholzia californica,Native,Forb
ESCAM,Eschscholzia californica,Native,Forb
EUAB,Chamaesyce abramsiana,Native,Forb
EUME3,Chamaesyce melanadenia,Native,Forb
EUPO3,Chamaesyce polycarpa,Native,Forb
EUPSPP,Euphorbia spp.,Native/Unknown,Forb
EVAR,Evolvulus arizonicus,Native,Forb
GILSPP,Gilia spp.,Native,Forb
GIST,Gilia stellata,Native,Forb
GLGO,Glandularia gooddingii,Native,Forb
GNPA,Gnaphalium palustre,Native,Forb
GUSA2,Gutierrezia sarothrae,Native,Forb
GUSA2,Gutierrezia sarothrae,Native,Shrub
HAGL,Halogeton glomeratus,Introduced,Forb
HAPAA,Harpagonella palmeri,Native,Forb
HEBO,Hedysarum boreale,Native,Forb
HECI,Helianthus ciliaris,Native,Forb
HECO26,Hesperostipa comata,Native,Grass
HEHIC,Herniaria hirsuta,Introduced,Forb
HEMU3,Heliomeris multiflora,Native,Forb
HESP,Heliomeris spp.,Native,Forb
HIIN3,Hirschfeldia incana,Introduced,Forb
HOGL2,Hoffmannseggia glauca,Native,Forb
HOMU,Hordeum murinum,Introduced,Grass
HOPU,Hordeum pusillum,Native,Grass
IPLO2,Ipomopsis longiflora,Native,Forb
KAGR,Kallstroemia grandiflora,Native,Forb
KAHI,Kallstroemia hirsutissima,Native,Forb
KRLA2,Krascheninnikovia lanata,Native,Shrub
LACA7,Lasthenia californica,Native,Forb
LAGL5,Layia glandulosa,Native,Forb
LAGR10,Lasthenia gracilis,Native,Forb
LATR2,Larrea tridentata,Native,Shrub
LEAU16,Leptosiphon aureus,Native,Forb
LECI4,Leymus cinereus,Native,Grass
LEFR2,Lepidium fremontii,Native,Forb
LELA,Lepidium lasiocarpum,Native,Forb
LEPA6,Leptochloa panicea,Native,Grass
LEPSPP,Lepidium spp.,Native/Unknown,Forb
LETH2,Lepidium thurberi,Native,Forb
LIBI2,Linanthus bigelovii,Native,Forb
LILE3,Linum lewisii,Native,Forb
LOAR12,Logfia arizonica,Native,Forb
LOESE2,Loeseliastrum franciscanum,Native,Forb
LOHU2,Lotus humistratus,Native,Forb
LOSA,Lotus salsuginosus,Native,Forb
LOSQ,Loeflingia squarrosa,Native,Forb
LOSTT,Lotus strigosus,Native,Forb
LUCO,Lupinus concinnus,Native,Forb
LUPSPP,Lupinus spp.,Unknown,Forb
LUSP2,Lupinus sparsiflorus,Native,Forb
LUSPP,Lupinus spp.,Native/Unknown,Forb
MACSPP,Machaeranthera spp.,Native,Forb
MADI6,Matricaria discoidea,Introduced,Forb
MAGL3,Malacothrix glabrata,Native,Forb
MAGR10,Machaeranthera gracilis,Native,Forb
MAPA5,Malva parviflora,Introduced,Forb
MATA2,Machaeranthera tanacetifolia,Native,Forb
MEAL6,Mentzelia albicaulis,Native,Forb
MEIN2,Melilotus indicus,Introduced,Forb
MEMO4,Mentzelia montana,Native,Forb
MENSPP,Mentzelia spp.,Native,Forb
MEOF,Melilotus officinalis,Introduced,Forb
MIGR,Microsteris gracilis,Native,Forb
MILA6,Mirabilis laevis,Native,Forb
MOCE,Mollugo cerviana,Introduced,Forb
MOCE,Mollugo cerviana,Introduced,Grass
MONU,Monolepis nuttalliana,Native,Forb
MOVE,Mollugo verticillata,Native,Forb
MUPO2,Muhlenbergia porteri,Native,Grass
NAHI,Nama hispidum,Native,Forb
OESP,Oenothera spp.,Native/Unknown,Forb
ONPI,Oncosiphon piluliferum,Introduced,Forb
PACA6,Panicum capillare,Native,Grass
PAHI5,Panicum hirticaule,Native,Grass
PAMI5,Parkinsonia microphylla,Native,Shrub
PANSPP,Panicum spp.,Native,Grass
PASM,Pascopyrum smithii,Native,Grass
PECSPP,Pectocarya spp.,Native,Forb
PECTO,Pectocarya,Native,Forb
PEHE,Pectocarya heterocarpa,Native,Forb
PEPA2,Pectis papposa,Native,Forb
PEPA8,Penstemon palmeri,Native,Forb
PEPL,Pectocarya platycarpa,Native,Forb
PERE,Pectocarya recurvata,Native,Forb
PHDI,Phacelia distans,Native,Forb
PHLO2,Phlox longifolia,Native,Forb
PHSPP,Phacelia spp.,Native,Forb
PHYSA,Physalis,Unknown,Forb
PLANT,Plantago,Unknown,Forb
PLAR,Plagiobothrys arizonicus,Native,Forb
PLASPP,Plantago spp.,Unknown,Forb
PLJA,Pleuraphis jamesii,Native,Grass
PLMU3,Pleuraphis mutica,Native,Grass
PLOV,Plantago ovata,Native,Forb
PLPA2,Plantago patagonica,Native,Forb
PLPR3,Plagiobothrys pringlei,Native,Forb
POBI,Poa bigelovii,Native,Grass
POOL,Portulaca oleracea,Unknown,Forb
POPI3,Portulaca pilosa,Native,Forb
PORSPP,Portulaca spp.,Native,Forb
POSE,Poa secunda,Native,Grass
POUM,Portulaca umbraticola,Native,Forb
PRGL2,Prosopis glandulosa,Native,Forb
PROACASPP,Mesquite/Acacia species,Native/Unknown,Shrub
PROBO,Proboscidea spp.,Native,Forb
PRVE,Prosopis velutina,Native,Shrub
PSCA11,Pseudognaphalium canescens,Native,Forb
PSSP6,Pseudoroegneria spicata,Native,Grass
SAAB,Sanvitalia abertii,Native,Forb
SACO6,Salvia columbariae,Native,Forb
SARE3,Salvia reflexa,Native,Forb
SATR12,Salsola tragus,Introduced,Forb
SATR12,Salsola iberica,Introduced,Forb
SCBA,Schismus barbatus,Introduced,Grass
SCMU6,Schkuhria multiflora,Native,Forb
SCPI3,Schkuhria pinnata,Unknown,Forb
SEBA3,Senna bauhinioides,Native,Forb
SECO10,Senna covesii,Native,Forb
SIAB,Sida abutifolia,Introduced,Forb
SIAL,Sisymbrium altissimum,Introduced,Forb
SIAL2,Sisymbrium altissimum,Introduced,Forb
SIAN2,Silene antirrhina,Native,Forb
SIDSPP,Sida spp.,Native/Unknown,Forb
SIIR,Sisymbrium irio,Introduced,Forb
SINE,Sida neomexicana,Native,Forb
SOEL,Solanum elaeagnifolium,Native,Forb
SOOL,Sonchus oleraceus,Introduced,Forb
SORO,Solanum rostratum,Native,Forb
SOSP,Solanum spp.,Native/Unknown,Forb
SPAI,Sporobolus airoides,Native,Grass
SPAM2,Sphaeralcea ambigua,Native,Forb
SPAMA,Sphaeralcea ambigua,Native,Forb
SPCO,Sphaeralcea coccinea,Native,Forb
SPCR,Sporobolus cryptandrus,Native,Grass
SPEC2,Spermolepis echinata,Native,Forb
SPGR2,Sphaeralcea grossulariifolia,Native,Forb
SPSP,Sphaeralcea spp.,Native/Unknown,Forb
STGN,Stylocline gnaphalioides,Native,Forb
STISPP,Stipa spp.,Native/Unknown,Grass
TAPO5,Talinum polygaloides,Native,Forb
TILA2,Tidestromia lanuginosa,Native,Forb
TOIN,Townsendia incana,Native,Forb
TRMU,Tridens muticus,Native,Grass
TRPI,Tradescantia pinetorum,Native,Forb
TRTE,Tribulus terrestris,Introduced,Forb
Unk bunchGrass #1,Could be BOCU,Unknown,Grass
Unkcrypt,Cryptantha spp.,Native,Forb
Unksporob,Sporobolus spp.,Unknown,Grass
URLI5,Microseris lindleyi,Native,Forb
VEEN,Verbesina encelioides,Native,Forb
VEPEX2,Veronica peregrina ssp. xalapensis,Native,Forb
VUOC,Vulpia octoflora,Native,Grass
YUEL,Yucca elata,Native,Shrub
ZIGR,Zinnia grandiflora,Native,Forb
