Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Mesquite,Chihuahuan,Warm,BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No
Mesquite,Chihuahuan,Medium,BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No
Mesquite,Chihuahuan,None,BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No
Mesquite,Chihuahuan,None,CHAMA,CHAMA.Mesquite,"Chamaesyce spp., Mesquite",Native,Unknown,Forb,No
Mesquite,Chihuahuan,Medium,CHAMA,CHAMA.Mesquite,"Chamaesyce spp., Mesquite",Native,Unknown,Forb,No
Mesquite,Chihuahuan,None,CRPO5,CRPO5,Croton pottsii,Native,Perennial,Forb,No
Mesquite,Chihuahuan,Medium,CRPO5,CRPO5,Croton pottsii,Native,Perennial,Forb,No
Mesquite,Chihuahuan,Warm,CRPO5,CRPO5,Croton pottsii,Native,Perennial,Forb,No
Mesquite,Chihuahuan,Medium,HOGL2,HOGL2,Hoffmannseggia glauca,Native,Perennial,Forb,No
Mesquite,Chihuahuan,Medium,KAHI,KAHI,Kallstroemia hirsutissima,Native,Annual,Forb,No
Mesquite,Chihuahuan,Warm,KAHI,KAHI,Kallstroemia hirsutissima,Native,Annual,Forb,No
Mesquite,Chihuahuan,Warm,PAHI7,PAHI7,Oplismenus hirtellus (Panicum hirtellum),Introduced,Perennial,Grass,No
Mesquite,Chihuahuan,Warm,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,No
Mesquite,Chihuahuan,Medium,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,No
Mesquite,Chihuahuan,None,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,No
Mesquite,Chihuahuan,Medium,PEPA2,PEPA2,Pectis papposa,Native,Annual,Forb,No
Mesquite,Chihuahuan,Warm,POPI3,POPI3,Portulaca pilosa,Native,Unknown,Forb,No
Mesquite,Chihuahuan,None,POPI3,POPI3,Portulaca pilosa,Native,Unknown,Forb,No
Mesquite,Chihuahuan,Medium,POPI3,POPI3,Portulaca pilosa,Native,Unknown,Forb,No
Mesquite,Chihuahuan,Medium,PRGL2,PRGL2,Prosopis glandulosa,Native,Perennial,Shrub,No
Mesquite,Chihuahuan,Warm,SEBA2,SEBA2,Senna bacillaris,Native,Perennial,Shrub,No
Mesquite,Chihuahuan,Warm,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
Mesquite,Chihuahuan,Medium,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
Mesquite,Chihuahuan,None,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
Mesquite,Chihuahuan,Warm,TILA2,TILA2,Tidestromia lanuginosa,Native,Annual,Forb,No
Mesquite,Chihuahuan,Medium,TILA2,TILA2,Tidestromia lanuginosa,Native,Annual,Forb,No
Mesquite,Chihuahuan,Medium,Unkaster,Unkaster.Mesquite,"Unknown aster, Mesquite",Unknown,Unknown,Forb,No
Mesquite,Chihuahuan,Medium,UNK Fuzzy astr,UNK Fuzzy astr.Mesquite,"Unknown fuzzy aster, Mesquite",Unknown,Unknown,Forb,No
Mesquite,Chihuahuan,Warm,Unkgrass,Unkgrass.Mesquite,"Unknown grass, Mesquite",Native,Unknown,Grass,No
