Site,Region,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Creosote,Chihuahuan,ACNA2,ACNA2,Acourtia nana,Native,Perennial,Forb,No
Creosote,Chihuahuan,AMCH3,AMCH3,Ammocodon chenopodioides,Native,Perennial,Forb,No
Creosote,Chihuahuan,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No
Creosote,Chihuahuan,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,No
Creosote,Chihuahuan,BOERH2,BOERH2,Boerhavia,Native,Unknown,Forb,No
Creosote,Chihuahuan,BOAR,BOAR,Bouteloua aristidoides,Native,Annual,Grass,No
Creosote,Chihuahuan,BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No
Creosote,Chihuahuan,CHAMA,CHAMA.Creosote,"Chamaesyce spp., Creosote",Native,Unknown,Forb,No
Creosote,Chihuahuan,Unkcrypt,Unkcrypt.Creosote,"Cryptantha spp., Creosote",Native,Unknown,Forb,No
Creosote,Chihuahuan,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
Creosote,Chihuahuan,Eriogonum,Eriogonum.Creosote,"Eriogonum spp., Creosote",Native,Unknown,Forb,No
Creosote,Chihuahuan,KAHI,KAHI,Kallstroemia hirsutissima,Native,Annual,Forb,No
Creosote,Chihuahuan,LATR2,LATR2,Larrea tridentata,Native,Perennial,Shrub,No
Creosote,Chihuahuan,MOCE,MOCE,Mollugo cerviana,Introduced,Annual,Forb,No
Creosote,Chihuahuan,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,No
Creosote,Chihuahuan,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
Creosote,Chihuahuan,TAPO5,TAPO5,Talinum polygaloides,Native,Perennial,Forb,No
Creosote,Chihuahuan,TILA2,TILA2,Tidestromia lanuginosa,Native,Annual,Forb,No
Creosote,Chihuahuan,Unkfabaceae,Unkfabaceae.Creosote,"Unknown fabaceae, Creosote",Unknown,Unknown,Forb,No
Creosote,Chihuahuan,UnkForb1,UnkForb1.Creosote,"Unknown forb 1, Creosote",Unknown,Unknown,Forb,No
Creosote,Chihuahuan,Unkforb,Unkforb.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb,No
Creosote,Chihuahuan,Unkforb1,Unkforb1.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb,No
Creosote,Chihuahuan,Unksalsola,Unksalsola.Creosote,"Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks., Creosote",Unknown,Unknown,Forb,No
