AccSpeciesName,DispersalSyndrome28,SeedDryMass26,SLA3117,GerminationRate95,LeafN14,LeafArea3113,LeafArea3114,LeafDryMass55,LeafCN146
Cistanthe grandiflora,4,6,0,6,0,0,0,0,0
Cistanthe longiscapa,0,2,0,0,0,0,0,0,0
Cistanthe maritima,2,5,0,0,0,0,0,0,0
Cistanthe monandra,6,12,0,0,0,0,0,0,0
Cistanthe pachyphylla,1,1,0,0,0,0,0,0,0
Cistanthe quadripetala,1,4,0,0,0,0,0,0,0
Cistanthe thyrsoidea,1,1,0,0,0,0,0,0,0
Cistanthe umbellata,1,8,0,2,0,0,0,0,0
Cistus albidus,7,343,738,235,110,3,693,71,69
Cistus brevifolius,1,7,0,0,0,0,0,0,0
Cistus chinamadensis subsp. gomerii,1,1,0,0,0,0,0,0,0
Cistus clusii,4,17,31,8,2,1,10,0,0
Cistus creticus,13,34,23,7,156,0,15,15,0
Cistus creticus subsp. creticus,0,1,0,0,0,0,0,0,0
Cistus creticus subsp. eriocephalus,2,2,23,0,8,0,0,0,0
Cistus crispus,5,14,7,4,6,0,0,0,0
Cistus cyprius_x,0,0,0,0,3,0,0,0,0
Cistus florentinus_x,1,0,0,0,0,0,0,0,0
Cistus heterophyllus,0,3,0,0,0,0,0,0,0
Cistus incanus,18,25,42,4,41,1,33,10,4
Cistus incanus subsp. incanus,0,6,0,5,0,0,0,0,0
Cistus inflatus,0,2,0,0,0,0,0,0,0
Cistus ladanifer,16,21,33,5,25,3,3,1,2
Cistus ladanifer subsp. sulcatus,1,1,0,0,0,0,0,0,0
Cistus laurifolius,4,22,17,6,21,2,0,1,0
Cistus libanotis,8,8,6,5,2,2,0,1,0
Cistus monspeliensis,12,29,163,6,36,4,123,127,4
Cistus munbyi,1,7,0,5,0,0,0,0,0
Cistus nigricans_x,3,3,0,0,0,0,0,0,0
Cistus osbeckiifolius,1,1,0,0,0,0,0,0,0
Cistus parviflorus,6,19,0,4,2,0,0,0,0
Cistus populifolius,4,10,8,4,2,2,0,1,0
Cistus salviifolius,35,59,144,7,169,5,109,102,35
Cistus sp,0,0,0,1,0,1,0,0,0
Cistus symphytifolius,0,0,14,0,2,2,0,1,0
Citharexylum affine,7,8,0,0,0,0,0,0,0
Citharexylum berlandieri,2,11,0,0,0,0,0,0,0
Citharexylum caudatum,0,1,3,0,3,1,1,0,1
Citharexylum donnell-smithii,7,0,0,0,0,0,0,0,0
Citharexylum glabrum,7,0,0,0,0,0,0,0,0
Citharexylum lycioides,0,6,0,4,0,0,0,0,0
Citharexylum macradenium,7,0,4,0,0,2,0,1,0
Citharexylum macrophyllum,0,0,0,0,0,0,1,0,0
Citharexylum mexicanum,1,1,0,0,0,0,0,0,0
Citharexylum mocinnii,0,0,173,0,0,0,0,0,0
Citharexylum montevidense,0,0,0,0,1,0,0,0,0
Citharexylum myrianthum,2,0,1,0,1,0,1,0,0
Citharexylum oleinum,0,0,2,0,2,0,0,0,0
Citharexylum poeppigii,12,10,0,0,0,0,1,0,0
Citharexylum solanaceum,1,0,0,0,0,0,0,0,0
Citharexylum spinosum,1,9,1,0,1,1,1,0,0
Citharexylum tetramerum,0,6,0,0,0,0,0,0,0
Citriobatus sp,0,0,0,0,0,3,0,0,0
Citronella gongonha,2,0,0,0,1,0,0,10,0
Citronella incarum,0,0,2,0,2,2,1,0,0
Citronella melliodora,0,0,0,0,0,0,1,0,0
Citronella moorei,1,0,9,0,0,2,9,0,0
Citronella paniculata,2,0,3,0,3,0,1,0,2
Citronella smythii,1,10,0,0,0,0,0,0,0
Citronella sp,0,0,2,0,1,7,0,0,0
Citronella vitiensis,0,0,0,0,1,1,0,0,1
Citropsis daweana,1,7,0,0,0,1,0,0,0
Citrullus colocynthis,34,32,2,8,0,2,0,1,0
Citrullus ecirrhosus,2,8,0,6,0,0,0,0,0
Citrullus lanatus,43,58,0,7,0,1,0,0,0
Citrullus rehmii,1,7,0,5,0,0,0,0,0
Citrus aurantiifolia,2,9,0,0,0,0,0,0,0
Citrus aurantium_x,6,33,93,0,69,1,1,0,0
Citrus australasica,0,0,25,0,0,1,25,0,0
Citrus australis,0,5,25,0,0,0,25,0,0
Citrus citrange,1,8,0,0,0,0,0,0,0
Citrus garrawayi,2,8,0,4,0,0,0,0,0
Citrus japonica,6,0,20,0,20,0,20,0,0
Citrus limon,2,7,2,0,1,0,0,0,0
Citrus maxima,1,8,0,0,0,1,0,0,0
Citrus medica,0,0,0,0,0,1,0,0,0
Citrus microcarpa_x,0,0,0,0,3,0,0,72,0
Citrus reticulata,2,7,1,0,0,1,0,0,0
Citrus sp,0,0,0,0,0,6,0,0,0
Citrus trifoliata,2,9,0,0,0,0,0,0,0
Cladanthus arabicus,0,0,0,7,0,0,0,0,0
Cladanthus mixtus,3,8,4,0,8,0,0,0,2
Cladium mariscoides,1,5,0,0,0,0,0,0,0
Cladium mariscus,207,32,9,2,7,0,10,9,1
Cladium mariscus subsp. californicum,1,1,0,0,0,0,0,0,0
Cladium mariscus subsp. intermedium,2,2,0,2,0,0,0,0,0
Cladium mariscus subsp. jamaicense,2,7,0,2,0,0,0,0,0
Cladium mariscus subsp. martii,1,1,0,0,0,0,0,0,0
Cladochaeta candidissima,1,7,0,0,0,0,0,0,0
Cladocolea grahamii,4,0,0,0,0,0,0,0,0
Cladonia rangiferina,0,0,0,0,1,0,0,0,0
Cladoraphis cyperoides,1,5,0,2,0,0,0,0,0
Cladoraphis spinosa,1,1,0,0,0,0,0,0,0
Cladostemon kirkii,0,0,3,0,2,4,0,1,0
Cladrastis kentukea,5,22,2,0,5,0,0,0,1
Cladrastis platycarpa,6,0,0,0,0,0,0,0,0
Cladrastis sinensis,1,1,0,0,0,0,0,0,0
Cladrastis wilsonii,0,0,6,0,6,0,6,0,6
Claoxylon australe,2,2,6,0,0,7,0,3,0
Claoxylon indicum,0,0,3,0,0,2,0,1,0
Claoxylon linostachys subsp. linostachys,1,1,0,0,0,0,0,0,0
Clappertonia ficifolia,1,7,0,0,0,0,0,0,0
Clappia suaedifolia,0,0,0,0,0,1,0,0,0
Clarisia biflora,24,20,23,0,8,8,5,15,0
Clarisia ilicifolia,15,14,0,0,4,1,2,0,0
Clarisia racemosa,14,11,10,0,18,5,1,1,4
Clarisia sp,0,0,0,0,2,3,0,0,0
Clarkia amoena,2,14,3,0,0,0,0,3,0
Clarkia amoena subsp. amoena,0,0,0,5,0,0,0,0,0
Clarkia amoena subsp. huntiana,1,8,0,0,0,0,0,0,0
Clarkia amoena subsp. whitneyi,1,8,0,0,0,0,0,0,0
Clarkia biloba subsp. australis,1,8,0,0,0,0,0,0,0
Clarkia biloba subsp. biloba,4,14,0,0,0,0,0,0,0
Clarkia biloba subsp. brandegeei,0,0,0,5,0,0,0,0,0
Clarkia bottae,1,8,0,11,0,0,0,0,0
Clarkia breweri,3,12,0,0,0,0,0,0,0
Clarkia concinna,4,14,0,0,0,0,0,0,0
Clarkia cylindrica,3,12,0,8,0,0,0,0,0
Clarkia davyi,1,8,0,5,0,0,0,0,0
Clarkia delicata,7,9,0,6,0,0,0,0,0
Clarkia dudleyana,3,12,0,0,0,0,0,0,0
Clarkia epilobioides,8,12,0,5,0,0,0,0,0
Clarkia gracilis,2,11,1,0,1,0,0,0,1
Clarkia gracilis subsp. tracyi,0,0,0,4,0,0,0,0,0
Clarkia imbricata,0,0,0,5,0,0,0,0,0
Clarkia lewisii,0,6,0,6,0,0,0,0,0
Clarkia mildrediae,2,10,0,0,0,0,0,0,0
Clarkia pulchella,0,1,0,5,0,0,0,0,0
Clarkia purpurea,7,11,2,0,1,0,0,0,1
Clarkia purpurea subsp. quadrivulnera,2,10,0,8,0,0,0,0,0
Clarkia purpurea subsp. viminea,1,8,0,4,0,0,0,0,0
Clarkia rhomboidea,3,11,0,6,0,0,0,0,0
Clarkia rubicunda,4,13,0,8,0,0,0,0,0
Clarkia speciosa subsp. polyantha,0,0,0,5,0,0,0,0,0
Clarkia speciosa subsp. speciosa,3,12,0,0,0,0,0,0,0
Clarkia tembloriensis,0,0,0,5,0,0,0,0,0
Clarkia tenella,0,12,0,4,0,0,0,0,0
Clarkia tenella subsp. tenuifolia,3,9,0,4,0,0,0,0,0
Clarkia unguiculata,12,27,0,7,0,0,0,0,0
Clarkia virgata,1,8,0,0,0,0,0,0,0
Clarkia williamsonii,2,10,0,5,0,0,0,0,0
Clarkia xantiana,2,9,0,7,0,0,0,0,0
Clathrotropis brachypetala,0,0,0,0,0,1,1,0,0
Clathrotropis macrocarpa,15,14,4,0,4,0,1,0,2
Clathrotropis nitida,1,8,0,0,0,0,0,0,0
Clausena anisata,18,8,3,0,5,2,0,33,3
Clausena anisata var. anisata,1,1,0,0,0,0,0,0,0
Clausena brevistyla,1,8,0,0,0,0,0,0,0
Clausena excavata,0,0,1,0,0,0,0,0,0
Clausena heptaphylla,0,0,0,0,0,2,0,0,0
Clavija delgada,0,0,2,0,3,0,0,1,0
Clavija domingensis,1,1,0,0,0,0,0,0,0
Clavija elliptica,4,9,0,0,0,0,0,0,0
Clavija macrocarpa,3,0,0,0,0,0,0,0,0
Clavija neglecta,4,0,0,0,0,0,0,0,0
Clavija nutans,1,0,0,0,0,0,0,0,0
Clavija procera,0,0,2,0,3,2,0,1,0
Clavija sp,0,0,0,0,2,3,0,0,0
Clavija tarapotana,11,9,0,0,0,0,0,0,0
Clavija weberbaueri,0,0,2,0,3,0,0,1,0
Claytonia caroliniana,0,2,11,0,0,0,0,16,0
Claytonia exigua,0,1,0,0,0,0,0,0,0
Claytonia exigua subsp. exigua,1,3,0,0,0,0,0,0,0
Claytonia gypsophiloides,2,6,0,0,0,0,0,0,0
Claytonia lanceolata,1,1,0,0,0,0,0,2,0
Claytonia megarhiza,0,0,0,0,0,0,0,8,0
Claytonia nevadensis,1,4,0,0,0,0,0,0,0
Claytonia parviflora,2,6,0,0,0,0,0,0,0
Claytonia parviflora subsp. viridis,1,1,0,0,0,0,0,0,0
Claytonia perfoliata,24,25,15,2,0,0,4,59,0
Claytonia perfoliata subsp. mexicana,1,3,0,0,0,0,0,0,0
Claytonia perfoliata subsp. perfoliata,1,1,0,0,0,0,0,0,0
Claytonia rubra subsp. depressa,1,4,0,0,0,0,0,0,0
Claytonia sibirica,16,15,1,1,0,0,4,0,0
Claytonia sibirica var. sibirica,0,1,0,0,0,0,0,0,0
Claytonia virginica,55,8,5,0,0,2,0,5,0
Cleidion bracteosum,0,0,0,0,0,1,0,0,0
Cleidion brevipetiolatum,0,0,0,0,1,0,1,0,0
Cleidion sp,0,0,0,0,0,2,0,0,0
Cleisostoma subulatum,1,1,0,0,0,0,0,0,0
Cleistachne sorghoides,0,0,0,3,0,0,0,0,0
Cleistanthus baramicus,0,0,1,0,3,0,0,0,0
Cleistanthus brideliifolius,0,0,1,0,3,0,0,0,2
Cleistanthus caudatus,0,0,3,0,25,1,0,0,25
Cleistanthus cunninghamii,1,1,15,0,0,3,15,0,0
Cleistanthus glandulosus,0,0,5,0,0,0,0,0,0
Cleistanthus monoicus,0,0,0,0,2,2,0,0,0
Cleistanthus oblongifolius,0,0,6,0,0,2,0,0,0
Cleistanthus paxii,0,0,1,0,3,0,0,0,0
Cleistanthus podopyxis,0,0,2,0,0,0,0,0,0
Cleistanthus polystachyus,0,0,6,0,5,0,0,0,5
Cleistanthus schlechteri,0,0,3,0,2,2,0,1,0
Cleistanthus sp,0,0,1,0,0,2,0,0,0
Cleistanthus venosus,0,0,1,0,0,0,0,0,0
Cleistes aphylla,2,0,0,0,0,0,0,0,0
Cleistes batistana,2,0,0,0,0,0,0,0,0
Cleistes bella,2,0,0,0,0,0,0,0,0
Cleistes elongata,2,0,0,0,0,0,0,0,0
Cleistes exilis,2,0,0,0,0,0,0,0,0
Cleistes grandiflora,2,0,0,0,0,0,0,0,0
Cleistes mantiqueirae,2,0,0,0,0,0,0,0,0
Cleistes metallina,2,0,0,0,0,0,0,0,0
Cleistes monantha,2,0,0,0,0,0,0,0,0
Cleistes montana,2,0,0,0,0,0,0,0,0
Cleistes moritzii,2,0,0,0,0,0,0,0,0
Cleistes paludosa,2,0,0,0,0,0,0,0,0
Cleistes paranaensis,2,0,0,0,0,0,0,0,0
Cleistes pusilla,2,0,0,0,0,0,0,0,0
Cleistes ramboi,2,0,0,0,0,0,0,0,0
Cleistes rodriguesii,2,0,0,0,0,0,0,0,0
Cleistes rosea,2,0,0,0,0,0,0,0,0
Cleistes speciosa,2,0,0,0,0,0,0,0,0
Cleistes tenuis,2,0,0,0,0,0,0,0,0
Cleistes unguiculata,2,0,0,0,0,0,0,0,0
Cleistoblechnum eburneum,0,0,0,0,9,0,0,0,0
Cleistocalyx fullageri,0,0,0,0,0,1,0,0,0
Cleistocalyx sp,0,0,0,0,0,2,0,0,0
Cleistochlamys kirkii,0,0,0,0,2,1,0,0,0
Cleistogenes hancei,0,0,1,0,1,0,0,0,0
Cleistogenes songorica,0,0,9,0,10,0,6,0,2
Cleistogenes squarrosa,0,0,70,0,251,1,13,0,34
Cleistopholis glauca,0,0,2,0,2,0,0,0,2
Cleistopholis patens,0,0,0,0,0,2,3,0,0
Clematicissus opaca,0,0,0,0,0,1,0,0,0
Clematicissus simsiana,2,0,0,0,0,2,0,0,0
Clematicissus striata,3,1,2,0,0,0,0,0,0
Clematicissus tweedieana,0,0,0,0,0,2,0,0,0
Clematis afoliata,1,3,0,0,0,0,0,0,0
Clematis alpina,19,10,15,0,3,0,0,25,3
Clematis alpina subsp. sibirica,2,2,0,1,0,0,0,0,0
Clematis anethifolia,1,1,0,0,0,0,0,0,0
Clematis apiifolia,0,2,0,0,0,0,0,0,0
Clematis aristata,8,5,2,0,0,17,0,1,0
Clematis armandii,0,0,4,0,6,0,3,0,2
Clematis barbellata,1,3,0,2,0,0,0,0,0
Clematis bojeri,0,2,0,0,0,0,0,0,0
Clematis brachiata,5,7,0,2,0,0,0,0,0
Clematis buchananiana,1,1,0,0,0,0,0,0,0
Clematis chrysocarpa,2,4,0,0,0,0,0,0,0
Clematis cirrhosa,11,13,0,1,0,0,0,0,0
Clematis columbiana,0,2,0,0,0,0,0,0,0
Clematis columbiana var. columbiana,1,1,0,1,0,0,0,0,0
Clematis crassifolia,0,0,1,0,0,0,0,0,0
Clematis decipiens,3,5,0,0,0,0,0,0,0
Clematis dioica,5,6,0,1,0,0,0,0,0
Clematis drummondii,10,9,0,1,0,0,0,0,0
Clematis fawcettii,1,0,0,0,0,0,0,0,0
Clematis flammula,16,15,3,0,4,0,0,8,3
Clematis floribunda,1,1,0,0,0,0,0,0,0
Clematis foetida,2,8,0,0,0,0,0,0,0
Clematis fremontii,53,53,0,0,0,0,0,0,52
Clematis fusca,0,0,2,0,0,0,1,0,0
Clematis fusca var. violacea,0,0,0,2,0,0,1,0,0
Clematis gentianoides,1,1,0,0,0,0,0,0,0
Clematis glauca,0,2,0,0,0,0,0,0,0
Clematis glycinoides,1,3,4,0,0,10,0,2,0
Clematis glycinoides var. glycinoides,2,3,0,2,0,0,0,0,0
Clematis haenkeana,4,2,0,0,0,0,0,0,0
Clematis hexapetala,0,0,3,0,5,0,2,0,0
Clematis hirsuta,4,9,0,1,0,0,0,0,0
Clematis ibarensis,4,6,0,1,0,0,0,0,0
Clematis integrifolia,3,6,6,0,0,0,1,6,0
Clematis javana,2,2,0,1,0,6,0,0,0
Clematis koreana,1,1,0,0,0,0,0,0,0
Clematis ladakhiana,1,3,0,0,0,0,0,0,0
Clematis lasiantha,7,12,4,0,2,2,0,1,0
Clematis leptophylla,2,2,0,0,0,0,0,0,0
Clematis ligusticifolia,11,13,0,0,0,2,0,0,0
Clematis linearifolia,0,0,0,0,1,0,0,0,0
Clematis mandschurica,0,4,10,0,0,0,0,10,0
Clematis marata,0,0,0,0,0,2,0,0,0
Clematis microphylla,0,2,0,1,0,0,0,0,0
Clematis obscura,0,0,0,0,1,0,0,0,0
Clematis occidentalis,10,11,28,1,0,28,0,0,0
Clematis orientalis,4,14,0,0,0,0,0,0,0
Clematis paniculata,2,5,0,0,0,7,0,0,0
Clematis pauciflora,7,6,0,0,0,0,0,0,0
Clematis pickeringii,1,3,0,1,0,0,0,0,0
Clematis pitcheri,1,3,0,0,0,0,0,0,0
Clematis puberula var. tenuisepala,1,1,0,0,0,0,0,0,0
Clematis pubescens,2,4,0,0,0,0,0,0,0
Clematis recta,171,16,5,1,3,0,0,15,3
Clematis rutoides,1,1,0,1,0,0,0,0,0
Clematis sibirica,0,0,0,0,0,1,0,0,0
Clematis simensis,3,8,0,1,0,8,0,0,0
Clematis songorica,2,2,0,0,0,0,0,0,0
Clematis sp,0,0,4,0,0,7,4,1,0
Clematis tangutica,1,1,3,0,0,2,0,2,0
Clematis terniflora,1,3,1,0,0,0,0,0,0
Clematis terniflora var. manshurica,0,0,1,0,0,0,2,0,0
Clematis texensis,1,3,0,0,0,0,0,0,0
Clematis uhehensis,1,1,0,0,0,0,0,0,0
Clematis villosa,0,2,0,0,0,0,0,0,0
Clematis villosa subsp. villosa,2,2,0,1,0,0,0,0,0
Clematis virginiana,16,17,1,0,1,3,0,0,0
Clematis vitalba,60,76,36,6,15,0,0,32,5
Clematis viticella,17,15,0,0,0,0,0,5,0
Clematis zeylanica,0,0,0,0,0,2,0,0,0
Cleome aculeata,1,0,0,0,0,0,0,0,0
Cleome amblyocarpa,6,18,0,7,0,0,0,0,0
Cleome amblyocarpa var. amblyocarpa,1,1,0,4,0,0,0,0,0
Cleome angustifolia,2,8,0,0,0,0,0,0,0
Cleome angustifolia subsp. petersiana,1,7,0,5,0,0,0,0,0
Cleome arabica,11,11,0,0,0,0,0,0,0
Cleome augustinensis,1,1,0,0,0,0,0,0,0
Cleome carnosa,1,7,0,4,0,0,0,0,0
Cleome chilensis,1,7,0,4,0,0,0,0,0
Cleome coluteoides,0,0,0,0,0,0,3,0,0
Cleome densifolia,1,7,0,0,0,0,0,0,0
Cleome elegantissima,1,1,0,0,0,0,0,0,0
Cleome foliosa var. lutea,1,7,0,5,0,0,0,0,0
Cleome glandulosa,1,1,0,0,0,0,0,0,0
Cleome gynandra,22,24,0,7,0,0,0,20,0
Cleome hassleriana,2,8,0,0,0,0,0,0,0
Cleome hirta,11,17,0,5,0,0,0,0,0
Cleome humilis,3,18,0,0,0,0,0,0,0
Cleome iberica,2,2,0,0,0,0,0,0,0
Cleome iberidella,1,1,0,0,0,0,0,0,0
Cleome kalachariensis,2,8,0,0,0,0,0,0,0
Cleome laburnifolia,1,7,0,0,0,0,0,0,0
Cleome lutea,0,2,0,1,0,0,0,0,0
Cleome maximiliani,4,22,0,11,0,0,0,0,0
Cleome microcarpa,2,0,0,0,0,0,0,0,0
Cleome monophylla,4,10,0,6,0,0,0,0,0
Cleome ornithopodioides,1,1,0,0,0,0,0,0,0
Cleome paludosa,2,0,0,0,0,0,0,0,0
Cleome paradoxa,1,7,0,6,0,0,0,0,0
Cleome parviflora,2,0,0,0,0,0,0,0,0
Cleome pilosa,3,12,0,7,0,0,0,0,0
Cleome polyanthera,1,7,0,5,0,0,0,0,0
Cleome ramosissima,0,6,0,0,0,0,0,0,0
Cleome ramosissina,1,1,0,0,0,0,0,0,0
Cleome refracta,1,10,0,0,0,0,0,0,0
Cleome rosea,2,0,0,0,0,0,0,0,0
Cleome rubella,2,8,0,0,0,0,0,0,0
Cleome rupicola,2,2,0,4,0,0,0,0,0
Cleome rutidosperma,9,2,0,0,0,1,0,0,0
Cleome semitetandra,1,1,0,0,0,0,0,0,0
Cleome siliculifera,2,0,0,0,0,0,0,0,0
Cleome sp,0,0,0,1,0,0,0,0,0
Cleome spinosa,4,23,0,5,0,0,0,0,0
Cleome stevensiana,1,1,0,0,0,0,0,0,0
Cleome strigosa,2,2,0,0,0,0,0,0,0
Cleome suffruticosa,1,7,0,0,0,0,0,0,0
Cleome tenella,2,11,0,0,0,0,0,0,0
Cleome tenuifolia,3,9,0,4,0,0,0,0,0
Cleome usambarica,1,17,5,5,0,0,0,0,0
Cleome vahliana,5,5,0,1,0,0,0,0,0
Cleome violacea,1,1,0,0,0,0,0,0,0
Cleome viridiflora,2,0,0,0,0,0,0,0,0
Cleomella arborea,8,25,12,5,2,0,0,11,0
Cleomella lutea,3,10,0,4,0,0,0,0,0
Cleomella multicaulis,2,11,0,0,0,0,0,0,0
Cleomella obtusifolia,1,8,0,0,0,0,0,0,0
Cleomella oxystyloides,1,7,0,4,0,0,0,0,0
Cleomella palmeriana,1,7,0,0,0,0,0,0,0
Cleomella palmeriana var. palmeriana,1,1,0,4,0,0,0,0,0
Cleomella platycarpa,1,2,0,0,0,0,0,0,0
Cleomella serrulata,4,12,0,0,0,0,0,0,0
Cleonia lusitanica,2,9,0,0,0,0,0,0,0
Cleretum bellidiforme,1,12,0,2,0,0,0,0,0
Cleretum clavatum,1,6,0,0,0,0,0,0,0
Cleretum herrei,3,5,0,2,0,0,0,0,0
Cleretum papulosum,4,0,0,0,0,0,0,0,0
Cleretum papulosum subsp. papulosum,0,4,0,2,0,0,0,0,0
Clermontia clermontioides,0,0,1,0,1,0,0,0,0
Clermontia fauriei,0,0,3,0,3,0,0,0,0
Clermontia montis-loa,0,0,5,0,6,0,0,0,0
Clermontia oblongifolia,0,0,1,0,2,0,0,0,1
Clermontia parviflora,0,0,4,0,4,0,0,0,0
Clermontia pyrularia,0,0,0,0,0,1,0,0,0
Clerodendrum bungei,0,6,0,0,2,0,0,0,0
Clerodendrum capitatum,1,7,0,0,0,1,0,0,0
Clerodendrum cephalanthum,1,8,0,0,0,0,0,0,0
Clerodendrum chinense,0,0,0,0,0,2,0,0,0
Clerodendrum cordatum,1,7,0,0,0,0,0,0,0
Clerodendrum coulteri,1,8,0,0,0,0,0,0,0
Clerodendrum cyrtophyllum,0,6,1,0,4,0,1,0,1
Clerodendrum deflexum,0,0,0,0,0,1,0,0,0
Clerodendrum floribundum,0,2,11,0,1,0,10,0,0
Clerodendrum fortunatum,0,0,14,0,14,0,13,0,0
Clerodendrum fuscum,0,0,0,0,0,2,0,0,0
Clerodendrum glabrum,0,6,0,0,11,0,0,0,11
Clerodendrum glandulosum,1,1,0,0,0,0,0,0,0
Clerodendrum globosum,1,7,0,0,0,0,0,0,0
Clerodendrum hastatum,0,0,1,0,0,0,0,0,0
Clerodendrum hildebrandtii,3,3,0,4,0,0,0,0,0
Clerodendrum humbertii,0,6,0,0,0,0,0,0,0
Clerodendrum infortunatum,0,1,0,0,2,8,0,0,0
Clerodendrum involucratum,1,7,0,4,0,0,0,0,0
Clerodendrum johnstonii,0,0,0,0,0,3,0,0,0
Clerodendrum kaichianum,0,0,1,0,1,0,1,0,1
Clerodendrum laevifolium,1,8,0,0,0,2,0,0,0
Clerodendrum macrostegium,0,0,1,0,2,0,0,0,1
Clerodendrum mandarinorum,0,6,2,0,3,0,2,0,1
Clerodendrum pleiosciadium,1,1,0,0,0,0,0,0,0
Clerodendrum polycephalum,0,6,0,0,0,0,0,0,0
Clerodendrum sp,0,0,0,0,0,30,0,0,0
Clerodendrum splendens,0,0,0,0,0,2,0,0,0
Clerodendrum tatei,0,2,0,0,0,0,0,0,0
Clerodendrum tomentosum,0,2,0,0,0,4,0,0,0
Clerodendrum trichotomum,5,13,4,0,4,0,3,0,2
Clerodendrum trichotomum var. fargesii,0,0,1,0,0,0,0,0,0
Clerodendrum villosum,1,8,0,0,0,0,0,0,0
Clethra acuminata,2,1,2,0,2,0,0,0,0
Clethra alexandri,0,0,0,0,0,1,0,0,0
Clethra alnifolia,6,6,8,0,8,0,0,0,0
Clethra barbinervis,4,10,8,0,4,0,0,0,0
Clethra conzattiana,0,0,2,0,0,2,0,0,0
Clethra cuneata,0,0,36,0,39,0,29,32,12
Clethra delavayi,2,2,0,4,1,0,1,0,0
Clethra fagifolia,0,0,2,0,2,0,0,0,0
Clethra gelida,0,0,15,0,0,0,0,15,0
Clethra hartwegii,0,0,2,0,0,2,0,0,0
Clethra mexicana,0,0,10,0,5,5,1,1,0
Clethra occidentalis,0,0,3,0,6,8,2,4,0
Clethra revoluta,0,1,14,0,15,0,12,12,12
Clethra scabra,3,2,5,0,4,2,3,5,0
Clethra sp,0,0,4,0,3,1,0,0,0
Clethra uleana,0,0,0,0,1,0,0,0,0
Clethra vicentina,5,0,0,0,0,0,0,0,0
Cleyera integrifolia,0,0,4,0,0,4,0,0,0
Cleyera japonica,0,0,14,0,11,4,3,0,3
Cleyera obscurinervia,0,0,27,0,0,0,27,27,0
Cleyera theoides,0,0,5,0,5,5,0,5,0
Clianthus maximus,1,1,0,0,0,0,0,0,0
Clianthus puniceus,3,10,0,0,0,0,0,0,0
Clibadium anceps,0,1,0,0,0,0,0,0,0
Clibadium arboreum,1,1,0,0,0,0,0,0,0
Clibadium armanii,2,0,0,0,0,0,0,0,0
Clibadium asperum,0,0,0,0,0,1,0,0,0
Clibadium erosum,2,3,2,0,1,1,1,0,0
Clibadium sp,7,0,0,0,0,0,0,0,0
Clibadium surinamense,2,0,0,0,0,16,0,0,0
Clibadium sylvestre,2,0,0,0,0,0,0,0,0
Clidemia biserrata,4,0,0,0,0,0,0,0,0
Clidemia capitata,1,8,0,0,0,0,0,0,0
Clidemia capitellata,4,16,1,0,0,1,0,0,0
Clidemia collina,0,0,0,0,0,1,0,0,0
Clidemia dentata,1,8,9,0,3,1,0,8,0
Clidemia dimorphica,0,0,2,0,3,0,0,1,0
Clidemia discolor,0,0,0,0,0,1,0,0,0
Clidemia eggersii,2,3,2,0,1,0,1,0,0
Clidemia francavillana,2,0,0,0,0,0,0,0,0
Clidemia hirta,2,7,8,4,10,27,0,0,2
Clidemia octona,3,8,9,0,3,2,0,8,0
Clidemia petiolaris,1,1,0,0,0,0,0,0,0
Clidemia septuplinervia,1,8,4,0,2,1,0,3,0
Clidemia sericea,2,0,12,0,20,2,0,1,0
Clidemia sp,7,0,1,0,4,12,0,0,0
Clidemia strigillosa,5,3,0,0,0,0,0,0,0
Clidemia umbrosa,1,1,0,4,0,0,0,0,0
Clidemia urceolata,2,0,0,0,0,0,0,0,0
Cliffortia acockii,1,1,0,0,0,0,0,0,0
Cliffortia atrata,1,1,0,0,0,0,0,0,0
Cliffortia burgersii,1,7,0,0,0,0,0,0,0
Cliffortia dichotoma,1,1,0,0,0,0,0,0,0
Cliffortia hirta,1,7,0,0,0,0,0,0,0
Cliffortia ilicifolia,1,1,0,0,0,0,0,0,0
Cliffortia juniperina,1,1,0,0,0,0,0,0,0
Cliffortia linearifolia,1,1,0,0,0,0,0,0,0
Cliffortia polygonifolia var. trifoliata,1,1,0,0,0,0,0,0,0
Cliffortia ruscifolia,7,1,0,0,36,0,0,0,0
Cliffortia sp,0,0,0,0,0,7,0,5,0
Cliftonia monophylla,1,0,0,0,0,0,0,0,0
Climacoptera crassa,2,2,0,0,0,0,0,0,0
Climacoptera korshinskyi,1,1,0,2,0,0,0,0,0
Climacoptera lanata,0,0,0,0,0,0,0,1,0
Clinopodium abyssinicum,17,0,0,0,0,0,0,20,0
Clinopodium acinos,35,52,10,5,1,0,10,31,0
Clinopodium alpinum,20,4,22,0,8,0,0,20,3
Clinopodium arkansanum,52,52,0,0,0,0,0,0,52
Clinopodium chilense,1,1,0,4,0,0,0,0,0
Clinopodium chinense,1,1,0,0,0,0,0,0,0
Clinopodium chinense var. parviflorum,1,1,0,0,0,0,0,0,0
Clinopodium chinense var. shibetchense,0,0,5,0,0,0,1,5,0
Clinopodium dalmaticum,1,1,0,0,0,0,0,0,0
Clinopodium debile,1,1,0,0,0,0,0,0,0
Clinopodium gilliesii,2,8,0,4,3,0,0,0,0
Clinopodium grandiflorum,4,2,0,0,0,0,0,0,0
Clinopodium graveolens,0,0,0,0,0,0,0,1,0
Clinopodium graveolens subsp. graveolens,1,1,0,0,0,0,0,0,0
